district,race,race-district,population,year
Andover,Asian,Andover Asian,341,2022
Andover,Asian,Andover Asian,138,2023
Andover,Asian,Andover Asian,165,2024
Andover,Black,Andover Black,45,2022
Andover,Black,Andover Black,36,2023
Andover,Black,Andover Black,42,2024
Andover,Hispanic,Andover Hispanic,126,2022
Andover,Hispanic,Andover Hispanic,904,2023
Andover,Hispanic,Andover Hispanic,1076,2024
Andover,Native American,Andover Native American,4,2022
Andover,Native American,Andover Native American,2,2023
Andover,Native American,Andover Native American,2,2024
Andover,NHPI,Andover NHPI,0,2022
Andover,NHPI,Andover NHPI,0,2023
Andover,NHPI,Andover NHPI,0,2024
Andover,Two or more races,Andover Two or more races,42,2022
Andover,Two or more races,Andover Two or more races,21,2023
Andover,Two or more races,Andover Two or more races,25,2024
Andover,White,Andover White,1195,2022
Andover,White,Andover White,650,2023
Andover,White,Andover White,774,2024
Lawrence,Asian,Lawrence Asian,54,2022
Lawrence,Asian,Lawrence Asian,247,2023
Lawrence,Asian,Lawrence Asian,165,2024
Lawrence,Black,Lawrence Black,36,2022
Lawrence,Black,Lawrence Black,63,2023
Lawrence,Black,Lawrence Black,42,2024
Lawrence,Hispanic,Lawrence Hispanic,2946,2022
Lawrence,Hispanic,Lawrence Hispanic,1613,2023
Lawrence,Hispanic,Lawrence Hispanic,1076,2024
Lawrence,Native American,Lawrence Native American,2,2022
Lawrence,Native American,Lawrence Native American,3,2023
Lawrence,Native American,Lawrence Native American,2,2024
Lawrence,NHPI,Lawrence NHPI,0,2022
Lawrence,NHPI,Lawrence NHPI,1,2023
Lawrence,NHPI,Lawrence NHPI,0,2024
Lawrence,Two or more races,Lawrence Two or more races,7,2022
Lawrence,Two or more races,Lawrence Two or more races,38,2023
Lawrence,Two or more races,Lawrence Two or more races,25,2024
Lawrence,White,Lawrence White,79,2022
Lawrence,White,Lawrence White,1161,2023
Lawrence,White,Lawrence White,774,2024
North Andover,Asian,North Andover Asian,99,2022
North Andover,Asian,North Andover Asian,109,2023
North Andover,Asian,North Andover Asian,165,2024
North Andover,Black,North Andover Black,46,2022
North Andover,Black,North Andover Black,28,2023
North Andover,Black,North Andover Black,42,2024
North Andover,Hispanic,North Andover Hispanic,155,2022
North Andover,Hispanic,North Andover Hispanic,710,2023
North Andover,Hispanic,North Andover Hispanic,1076,2024
North Andover,Native American,North Andover Native American,1,2022
North Andover,Native American,North Andover Native American,2,2023
North Andover,Native American,North Andover Native American,2,2024
North Andover,NHPI,North Andover NHPI,1,2022
North Andover,NHPI,North Andover NHPI,0,2023
North Andover,NHPI,North Andover NHPI,0,2024
North Andover,White,North AndoverWhite,1048,2022
North Andover,White,North AndoverWhite,511,2023
North Andover,White,North AndoverWhite,774,2024
North Andover,Two or more races,North AndoverTwo or more races,27,2022
North Andover,Two or more races,North AndoverTwo or more races,17,2023
North Andover,Two or more races,North AndoverTwo or more races,25,2024
