towns,Fact,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2020","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2019","Total employment, 2019","Total annual payroll, 2019 ($1,000)","Total employment, percent change, 2018-2019","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Amesbury,"Amesbury Town city, Massachusetts",NA,NA,NA,17366,16283,0.044,0.197,0.168,0.513,0.961,0.006,0.003,0.011,0,0.019,0.025,0.938,814,0.043,X,0.702,336200,2252,866,1195,X,7215,2.37,0.882,0.044,0.928,0.878,0.942,0.411,0.098,0.018,0.708,0.668,25617,61249,246210,112942,6830,32.6,82468,42607,0.063,X,X,X,X,X,1666,817,761,30,1587,216,1395,1327.8,12.26,"""2501260"""
Andover,"Andover CDP, Massachusetts",NA,NA,NA,9735,8762,0.038,0.166,0.194,0.534,0.87,0.026,0.001,0.079,0,0.023,0.025,0.847,409,0.135,X,0.72,564200,2713,1096,1006,X,3472,2.15,0.86,0.165,0.918,0.89,0.966,0.7,0.052,0.021,0.647,0.596,X,X,X,X,NA,32.5,95600,55457,0.095,X,X,X,X,X,F,F,F,F,F,F,F,2376.6,3.69,"""2501430"""
Beverly,"Beverly city, Massachusetts",NA,NA,NA,42670,39502,0.051,0.181,0.168,0.534,0.921,0.021,0.001,0.022,0.001,0.027,0.051,0.885,2245,0.08,X,0.605,437300,2379,842,1282,X,16443,2.34,0.862,0.102,0.91,0.878,0.952,0.506,0.074,0.022,0.681,0.633,D,516124,594908,690375,17137,29.4,80586,45803,0.093,X,X,X,X,X,4110,2444,1279,215,3722,286,3618,2617.2,15.09,"""2505595"""
Boxford,"Boxford town, Essex County, Massachusetts",NA,NA,NA,8203,7965,0.045,0.251,0.161,0.488,0.945,0,0,0.02,0,0.035,0.024,0.935,360,0.046,X,0.977,678700,3328,1218,870,X,2839,2.92,0.973,0.051,0.982,0.96,0.981,0.681,0.038,0.01,0.69,0.622,2065,14304,D,D,NA,40.4,184007,79705,0.002,X,X,X,X,X,870,440,370,F,854,39,823,338.1,23.56,"""2500907420"""
Danvers,"Danvers town, Essex County, Massachusetts",NA,NA,NA,28087,26493,0.049,0.19,0.209,0.543,0.917,0.024,0.001,0.026,0,0.023,0.051,0.876,1414,0.105,X,0.713,427400,2421,864,1398,X,10689,2.51,0.894,0.119,0.909,0.873,0.937,0.432,0.075,0.02,0.676,0.631,132584,423406,912359,1792878,66354,28.3,89250,44005,0.071,X,X,X,X,X,3027,1824,874,128,2701,415,2387,1995.6,13.28,"""2500916250"""
Essex County,"Essex County, Massachusetts",NA,NA,NA,809829,743159,0.056,0.211,0.176,0.518,0.851,0.071,0.009,0.039,0.002,0.028,0.222,0.69,32697,0.173,314723,0.642,409900,2342,866,1241,1359,294202,2.6,0.89,0.265,0.911,0.858,0.893,0.399,0.079,0.039,0.675,0.634,1536058,5323953,12747884,10037894,13284,30.4,79263,42347,0.09,19328,300360,16760357,0.01,69827,71118,41046,24612,10741,58429,6629,61791,1508.8,492.56,"""25009"""
Georgetown,"Georgetown town, Essex County, Massachusetts",NA,NA,NA,8470,8183,0.049,0.225,0.158,0.504,0.958,0.008,0.004,0.012,0,0.012,0.035,0.932,592,0.037,X,0.808,460400,2568,926,1487,X,3295,2.63,0.911,0.045,0.954,0.935,0.979,0.534,0.045,0.012,0.706,0.671,D,15620,51377,28190,3365,36.4,128466,53243,0.031,X,X,X,X,X,611,365,215,47,553,128,472,636.3,12.86,"""2500925625"""
Gloucester,"Gloucester city, Massachusetts",NA,NA,NA,29729,28789,0.06,0.165,0.23,0.516,0.936,0.017,0,0.019,0,0.023,0.024,0.919,1558,0.086,X,0.64,425400,2241,880,1185,X,13110,2.27,0.913,0.093,0.91,0.861,0.925,0.399,0.069,0.041,0.641,0.59,72373,179407,D,344334,11796,26.4,72574,43321,0.1,X,X,X,X,X,3907,2160,1373,293,3500,405,3327,1099,26.2,"""2526150"""
Groveland,"Groveland town, Essex County, Massachusetts",NA,NA,NA,6752,6459,0.05,0.203,0.178,0.49,0.983,0,0.003,0.007,0,0.003,0.032,0.959,183,0.025,X,0.871,406700,2402,882,1337,X,2448,2.77,0.926,0.033,0.978,0.895,0.966,0.487,0.084,0,0.706,0.684,4325,D,D,D,NA,29.5,103125,44709,0.028,X,X,X,X,X,555,344,179,F,525,102,422,727.1,8.88,"""2500927620"""
Hamilton,"Hamilton town, Essex County, Massachusetts",NA,NA,NA,7561,7764,0.058,0.258,0.141,0.494,0.921,0.003,0,0.06,0.002,0.011,0.015,0.91,377,0.096,X,0.809,569100,3191,1113,1207,X,2719,2.89,0.893,0.077,0.957,0.936,0.982,0.693,0.042,0.017,0.642,0.566,7982,13465,X,44295,5487,35.6,127813,49347,0.119,X,X,X,X,X,759,330,367,F,738,43,693,547.4,14.18,"""2500927900"""
Haverhill,"Haverhill city, Massachusetts",NA,NA,NA,67787,60879,0.061,0.231,0.127,0.517,0.803,0.036,0.001,0.013,0,0.039,0.232,0.697,2827,0.107,X,0.571,300600,1990,748,1208,X,24256,2.58,0.891,0.219,0.929,0.831,0.908,0.298,0.1,0.037,0.722,0.692,100586,364567,719273,677689,10966,28.6,69426,33918,0.125,X,X,X,X,X,4361,2364,1573,709,3448,439,3643,1846.5,32.97,"""2529405"""
Ipswich,"Ipswich town, Essex County, Massachusetts",NA,NA,NA,13785,13175,0.038,0.206,0.224,0.519,0.944,0.022,0,0.009,0,0.011,0.042,0.92,781,0.065,X,0.717,485600,2449,886,1145,X,5761,2.4,0.935,0.078,0.906,0.856,0.976,0.541,0.049,0.017,0.662,0.625,25625,16858,282831,94946,7010,30.6,93212,52393,0.076,X,X,X,X,X,1655,928,572,F,1599,115,1480,410.3,32.11,"""2500932310"""
Lawrence,"Lawrence city, Massachusetts",NA,NA,NA,89143,76377,0.078,0.263,0.104,0.511,0.528,0.057,0.003,0.017,0,0.031,0.806,0.148,1168,0.406,X,0.31,271100,1844,593,1145,X,25959,3.03,0.882,0.782,0.839,0.721,0.67,0.108,0.092,0.074,0.67,0.64,D,674822,813616,486394,6290,23.7,44613,20858,0.214,X,X,X,X,X,5343,2878,2113,3678,1453,264,4864,11028,6.93,"""2534550"""
Lynn,"Lynn city, Massachusetts",NA,NA,NA,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Lynnfield,"Lynnfield town, Essex County, Massachusetts",NA,NA,NA,13000,11596,0.057,0.248,0.197,0.518,0.923,0.012,0,0.044,0,0.019,0.024,0.907,489,0.078,X,0.851,670700,3242,1143,1669,X,4590,2.81,0.925,0.096,0.924,0.906,0.967,0.551,0.033,0.016,0.688,0.6,16891,26675,X,317013,26854,32.5,128641,63191,0.02,X,X,X,X,X,1412,953,366,97,1240,205,1111,1173.4,9.88,"""2500937560"""
Manchester,"Manchester-by-the-Sea town, Essex County, Massachusetts",NA,NA,NA,5395,5136,0.039,0.226,0.236,0.498,0.986,0,0,0.007,0,0.006,0.015,0.971,215,0.078,X,0.762,852400,3269,"$1,500+",1356,X,2075,2.59,0.88,0.08,0.946,0.903,0.983,0.708,0.004,0.03,0.655,0.602,D,13745,X,25969,4979,36.9,148854,74989,0.033,X,X,X,X,X,850,467,298,F,807,40,795,556.5,9.23,"""2500937995"""
Marblehead,"Marblehead town, Essex County, Massachusetts",NA,NA,NA,20441,19808,0.037,0.232,0.218,0.529,0.956,0.016,0,0.014,0,0.009,0.05,0.911,910,0.105,X,0.778,675400,2865,1077,1578,X,8122,2.51,0.907,0.131,0.972,0.953,0.986,0.713,0.031,0.023,0.663,0.613,19329,40689,16750,100119,4987,38.5,123333,69148,0.044,X,X,X,X,X,3138,1879,949,80,2923,269,2727,4515.5,4.39,"""2500938400"""
Massachusetts,Massachusetts,6984723,7029917,-0.006,7029917,6547629,0.052,0.196,0.17,0.515,0.806,0.09,0.005,0.072,0.001,0.026,0.124,0.711,303534,0.168,2928732,0.624,381600,2225,812,1282,17025,2617497,2.52,0.873,0.238,0.914,0.864,0.908,0.437,0.078,0.035,0.672,0.634,17508975,63583090,81927799,92915380,13980,30.2,81215,43761,0.094,181061,3386372,238938268,0.02,573754,607664,357158,199210,89967,499959,58339,525667,839.4,7800.06,"""25"""
Merrimac,"Merrimac town, Essex County, Massachusetts",NA,NA,NA,6723,6338,0.037,0.195,0.191,0.504,0.967,0.002,0,0.01,0,0.007,0.024,0.956,482,0.033,X,0.871,362600,2304,706,1102,X,2710,2.53,0.951,0.043,0.927,0.832,0.943,0.437,0.098,0.034,0.683,0.641,3105,D,D,11386,1747,32.6,84609,44616,0.034,X,X,X,X,X,579,288,264,F,568,103,470,749.3,8.46,"""2500940430"""
Methuen,"Methuen Town city, Massachusetts",NA,NA,NA,53059,47255,0.048,0.209,0.16,0.519,0.746,0.043,0.003,0.041,0,0.039,0.295,0.609,2015,0.223,X,0.718,333200,2068,760,1233,X,17907,2.78,0.885,0.361,0.923,0.887,0.883,0.281,0.079,0.047,0.699,0.67,96912,334051,635169,530345,11047,27.8,77484,35387,0.092,X,X,X,X,X,3750,2260,1184,681,2929,333,3166,2124,22.25,"""2540710"""
Middleton,"Middleton town, Essex County, Massachusetts",NA,NA,NA,9779,8987,0.049,0.189,0.184,0.466,0.929,0.015,0.001,0.012,0,0.034,0.062,0.903,305,0.085,X,0.884,555600,2869,964,1720,X,2999,2.92,0.896,0.156,0.936,0.951,0.914,0.393,0.072,0.03,0.569,0.609,19682,19079,142749,175156,18901,33.4,125204,52896,0.028,X,X,X,X,X,935,519,356,F,860,75,823,667.9,13.46,"""2500941095"""
Newbury,"Newbury town, Essex County, Massachusetts",NA,NA,NA,6716,6666,0.026,0.251,0.226,0.548,0.937,0.01,0,0.016,0,0.012,0.03,0.921,457,0.04,X,0.864,517100,2645,749,1077,X,2577,2.68,0.923,0.035,0.972,0.944,0.963,0.531,0.033,0.017,0.655,0.599,7144,3264,D,D,NA,28.6,101875,57871,0.089,X,X,X,X,X,886,488,337,F,876,91,734,285.4,23.35,"""2500945175"""
Newburyport,"Newburyport city, Massachusetts",NA,NA,NA,18289,17416,0.035,0.206,0.21,0.545,0.941,0.017,0,0.022,0,0.017,0.028,0.924,801,0.075,X,0.772,548400,2599,1007,1338,X,7836,2.27,0.904,0.072,0.94,0.9,0.969,0.624,0.052,0.023,0.693,0.638,66902,259692,558698,223348,12651,33.6,109839,64018,0.059,X,X,X,X,X,2672,1561,924,128,2395,229,2302,2086.2,8.35,"""2545245"""
North Andover,"North Andover town, Essex County, Massachusetts",NA,NA,NA,30915,28352,0.057,0.242,0.159,0.52,0.858,0.036,0.001,0.061,0,0.023,0.076,0.811,1218,0.119,X,0.714,505400,2834,982,1577,X,11112,2.67,0.867,0.151,0.937,0.908,0.959,0.597,0.063,0.018,0.667,0.602,69990,208800,245244,318635,11211,32.5,108070,54939,0.056,X,X,X,X,X,2866,1576,1051,408,2361,236,2455,1077.8,26.31,"""2500946365"""
Peabody,"Peabody city, Massachusetts",NA,NA,NA,54481,51251,0.062,0.171,0.225,0.52,0.899,0.038,0.004,0.011,0,0.027,0.099,0.827,2974,0.154,X,0.658,387400,2039,659,1366,X,21713,2.41,0.88,0.213,0.865,0.818,0.901,0.34,0.091,0.032,0.64,0.592,154677,594501,1063923,1256022,24216,27.8,73217,40095,0.086,X,X,X,X,X,4954,3020,1380,496,4143,476,4051,3161.4,16.21,"""2552490"""
Rockport,"Rockport town, Essex County, Massachusetts",NA,NA,NA,6992,6952,0.038,0.147,0.337,0.563,0.97,0.001,0,0.001,0,0.011,0.007,0.965,480,0.029,X,0.69,536400,2260,918,1360,X,3324,2.16,0.913,0.029,0.913,0.86,0.973,0.569,0.042,0.008,0.594,0.546,18432,D,D,19799,2803,29.1,85208,51122,0.067,X,X,X,X,X,969,391,505,49,901,53,897,994.4,6.99,"""2500957880"""
Rowley,"Rowley town, Essex County, Massachusetts",NA,NA,NA,6161,5856,0.053,0.218,0.169,0.535,0.959,0.012,0,0.011,0,0.016,0.008,0.954,413,0.033,X,0.813,486100,2476,856,1361,X,2210,2.86,0.914,0.031,0.941,0.914,0.967,0.445,0.067,0.003,0.713,0.692,D,12220,D,105161,17627,31.9,115909,54885,0.044,X,X,X,X,X,816,477,276,F,797,68,743,321.6,18.21,"""2500958405"""
Salem,"Salem city, Massachusetts",NA,NA,NA,44480,41340,0.052,0.162,0.162,0.547,0.79,0.066,0.006,0.025,0,0.038,0.178,0.718,1607,0.146,X,0.515,367200,2206,881,1289,X,18437,2.25,0.857,0.22,0.916,0.879,0.912,0.43,0.102,0.028,0.68,0.649,116417,764377,132957,469570,11122,31.3,68808,38400,0.147,X,X,X,X,X,4058,2207,1398,505,3413,686,3205,4992.9,8.28,"""2559105"""
Salisbury,"Salisbury town, Essex County, Massachusetts",NA,NA,NA,9236,8283,0.048,0.173,0.207,0.5,0.959,0.007,0.001,0.011,0.002,0.01,0.036,0.928,786,0.049,X,0.816,363600,2092,730,1463,X,3891,2.39,0.912,0.059,0.932,0.897,0.922,0.358,0.106,0.034,0.652,0.652,31569,D,40760,71065,8435,30.1,81304,43214,0.062,X,X,X,X,X,876,536,220,100,764,75,748,536.9,15.43,"""2500959245"""
