district_code,district_name_w_charters,district_name_x,total_num_of_classes,average_class_size,number_of_students,african_american_pct,asian_pct,hispanic_pct,white_pct,native_american_pct,native_hawaiian_pacific_islander_pct,multi-race_non-hispanic_pct,tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,pct_score_1-2_x,pct_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,pct_score_1-2_y,pct_score_3-5_y,tests_takers,tests_taken_x.1,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(num),attending_coll./univ._(num),attending_coll./univ._(pct),private_two-year_(pct),private_four-year_(pct),public_two-year_(pct),public_four-year_(pct),ma_community_college_(pct),ma_state_university_(pct),univ.of_mass._(pct),tests_taken_y.1,reading_/_writing,writing,math,num_in_cohort,pct_graduated,pct_still_in_school,pct_non-grad_completers,pct_h.s._equiv.,pct_dropped_out,pct_permanently_excluded,towns,school_name,fact,population_estimates_july_1_2021_(v2021),population_estimates_base_april_1_2020_(v2021),population_percent_change_-_april_1_2020_(estimates_base)_to_july_1_2021_(v2021),population_census_april_1_2020,population_census_april_1_2010,persons_under_5_years_percent,persons_under_18_years_percent,persons_65_years_and_over_percent,female_persons_percent,white_alone_percent,black_or_african_american_alone_percent,american_indian_and_alaska_native_alone_percent,asian_alone_percent,native_hawaiian_and_other_pacific_islander_alone_percent,two_or_more_races_percent,hispanic_or_latino_percent,white_alone_not_hispanic_or_latino_percent,veterans_2015-2019,foreign_born_persons_percent_2015-2019,housing_units__july_1_2019__(v2019),owner-occupied_housing_unit_rate_2015-2019,median_value_of_owner-occupied_housing_units_2015-2019,median_selected_monthly_owner_costs_-with_a_mortgage_2015-2019,median_selected_monthly_owner_costs_-without_a_mortgage_2015-2019,median_gross_rent_2015-2019,building_permits_2020,households_2015-2019,persons_per_household_2015-2019,living_in_same_house_1_year_ago_percent_of_persons_age_1_year+_2015-2019,language_other_than_english_spoken_at_home_percent_of_persons_age_5_years+_2015-2019,households_with_a_computer_percent_2015-2019,households_with_a_broadband_internet_subscription_percent_2015-2019,high_school_graduate_or_higher_percent_of_persons_age_25_years+_2015-2019,bachelor's_degree_or_higher_percent_of_persons_age_25_years+_2015-2019,with_a_disability_under_age_65_years_percent_2015-2019,persons__without_health_insurance_under_age_65_years_percent,in_civilian_labor_force_total_percent_of_population_age_16_years+_2015-2019,in_civilian_labor_force_female_percent_of_population_age_16_years+_2015-2019,total_accommodation_and_food_services_sales_2012_($1000),total_health_care_and_social_assistance_receipts/revenue_2012_($1000),total_manufacturers_shipments_2012_($1000),total_retail_sales_2012_($1000),total_retail_sales_per_capita_2012,mean_travel_time_to_work_(minutes)_workers_age_16_years+_2015-2019,median_household_income,per_capita_income_in_past_12_months_(in_2019_dollars)_2015-2019,persons_in_poverty_percent,total_employer_establishments_2019,total_employment_2019,total_annual_payroll_2019_($1000),total_employment_percent_change_2018-2019,total_nonemployer_establishments_2018,all_firms_2012,men-owned_firms_2012,women-owned_firms_2012,minority-owned_firms_2012,nonminority-owned_firms_2012,veteran-owned_firms_2012,nonveteran-owned_firms_2012,population_per_square_mile_2010,land_area_in_square_miles_2010,fips_code
70000.0,Amesbury,Amesbury,"1,115",15.1,"1,869",1.9,1.2,9.7,82.6,0.2,0.1,4.3,126.0,18.0,34.0,46.0,19.0,9.0,41.3,58.7,126.0,18.0,34.0,46.0,19.0,9.0,41.3,58.7,84.0,126.0,43.0,40.0,1.0,0.0,0.0,151.0,102.0,67.5,0.0,33.3,24.5,42.2,22.5,3.9,13.7,45.0,596.0,,570.0,165,87.9,9.1,0.0,0.0,3.0,0.0,Amesbury,Amesbury High School,"Amesbury Town city, Massachusetts",,,,17366,16283,0.044,0.197,0.168,0.513,0.961,0.006,0.003,0.011,0.0,0.019,0.025,0.938,814,0.043,X,0.702,336200,2252,866,1195,X,7215,2.37,0.882,0.044,0.928,0.878,0.942,0.411,0.098,0.018,0.708,0.668,25617,61249,246210,112942,6830.0,32.6,82468,42607,0.063,X,X,X,X,X,1666,817,761,30,1587,216,1395,1327.8,12.26,"""2501260"""
90000.0,Andover,Andover,"3,729",12.3,"5,614",2.7,19.0,7.9,66.5,0.1,0.1,3.7,986.0,70.0,182.0,272.0,289.0,173.0,25.6,74.4,986.0,70.0,182.0,272.0,289.0,173.0,25.6,74.4,495.0,986.0,207.0,157.0,75.0,42.0,14.0,433.0,351.0,81.1,0.0,52.4,7.4,40.2,6.6,6.0,16.5,456.0,607.0,,611.0,441,95.2,3.9,0.0,0.0,0.9,0.0,Andover,Andover High School,"Andover CDP, Massachusetts",,,,9735,8762,0.038,0.166,0.194,0.534,0.87,0.026,0.001,0.079,0.0,0.023,0.025,0.847,409,0.135,X,0.72,564200,2713,1096,1006,X,3472,2.15,0.86,0.165,0.918,0.89,0.966,0.7,0.052,0.021,0.647,0.596,X,X,X,X,,32.5,95600,55457,0.095,X,X,X,X,X,F,F,F,F,F,F,F,2376.6,3.69,"""2501430"""
300000.0,Beverly,Beverly,"1,732",16.4,"4,655",3.5,2.5,14.9,75.0,0.1,0.0,4.0,269.0,25.0,92.0,82.0,52.0,18.0,43.5,56.5,269.0,25.0,92.0,82.0,52.0,18.0,43.5,56.5,158.0,269.0,87.0,41.0,23.0,5.0,2.0,289.0,217.0,75.1,0.0,36.9,16.6,46.5,16.6,11.5,14.7,185.0,548.0,,522.0,310,91.0,3.9,0.0,0.3,4.8,0.0,Beverly,Beverly High School,"Beverly city, Massachusetts",,,,42670,39502,0.051,0.181,0.168,0.534,0.921,0.021,0.001,0.022,0.001,0.027,0.051,0.885,2245,0.08,X,0.605,437300,2379,842,1282,X,16443,2.34,0.862,0.102,0.91,0.878,0.952,0.506,0.074,0.022,0.681,0.633,D,516124,594908,690375,17137.0,29.4,80586,45803,0.093,X,X,X,X,X,4110,2444,1279,215,3722,286,3618,2617.2,15.09,"""2505595"""
710000.0,Danvers,Danvers,"2,116",16.8,"3,327",2.3,2.4,9.1,83.6,0.1,0.0,2.6,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,186.0,361.0,84.0,61.0,22.0,10.0,9.0,230.0,163.0,70.9,0.0,39.3,14.7,46.0,14.7,13.5,11.0,145.0,549.0,,530.0,237,95.8,3.0,0.0,0.4,0.8,0.0,Danvers,Danvers High School,"Danvers town, Essex County, Massachusetts",,,,28087,26493,0.049,0.19,0.209,0.543,0.917,0.024,0.001,0.026,0.0,0.023,0.051,0.876,1414,0.105,X,0.713,427400,2421,864,1398,X,10689,2.51,0.894,0.119,0.909,0.873,0.937,0.432,0.075,0.02,0.676,0.631,132584,423406,912359,1792878,66354.0,28.3,89250,44005,0.071,X,X,X,X,X,3027,1824,874,128,2701,415,2387,1995.6,13.28,"""2500916250"""
1050000.0,Georgetown,Georgetown,623,14.9,"1,223",0.8,1.0,2.4,93.7,0.0,0.2,2.0,117.0,3.0,12.0,33.0,39.0,30.0,12.8,87.2,117.0,3.0,12.0,33.0,39.0,30.0,12.8,87.2,66.0,117.0,31.0,22.0,10.0,3.0,0.0,109.0,90.0,82.6,0.0,41.1,14.4,44.4,14.4,2.2,12.2,114.0,577.0,,569.0,112,95.5,1.8,0.0,0.0,2.7,0.0,Georgetown,Georgetown High School,"Georgetown town, Essex County, Massachusetts",,,,8470,8183,0.049,0.225,0.158,0.504,0.958,0.008,0.004,0.012,0.0,0.012,0.035,0.932,592,0.037,X,0.808,460400,2568,926,1487,X,3295,2.63,0.911,0.045,0.954,0.935,0.979,0.534,0.045,0.012,0.706,0.671,D,15620,51377,28190,3365.0,36.4,128466,53243,0.031,X,X,X,X,X,611,365,215,47,553,128,472,636.3,12.86,"""2500925625"""
1070000.0,Gloucester,Gloucester,"1,446",13.1,"2,691",1.8,1.2,12.9,79.7,0.3,0.3,3.8,160.0,33.0,39.0,42.0,28.0,18.0,45.0,55.0,160.0,33.0,39.0,42.0,28.0,18.0,45.0,55.0,96.0,160.0,50.0,32.0,10.0,4.0,0.0,177.0,87.0,49.2,0.0,39.1,28.7,32.2,26.4,17.2,9.2,95.0,542.0,,532.0,190,83.7,9.5,0.5,0.5,5.8,0.0,Gloucester,Gloucester High School,"Gloucester city, Massachusetts",,,,29729,28789,0.06,0.165,0.23,0.516,0.936,0.017,0.0,0.019,0.0,0.023,0.024,0.919,1558,0.086,X,0.64,425400,2241,880,1185,X,13110,2.27,0.913,0.093,0.91,0.861,0.925,0.399,0.069,0.041,0.641,0.59,72373,179407,D,344334,11796.0,26.4,72574,43321,0.1,X,X,X,X,X,3907,2160,1373,293,3500,405,3327,1099.0,26.2,"""2526150"""
6750000.0,Hamilton-Wenham,Hamilton-Wenham,"1,221",11.8,"1,683",0.5,3.7,5.2,87.8,0.0,0.2,2.7,219.0,38.0,45.0,61.0,53.0,22.0,37.9,62.1,219.0,38.0,45.0,61.0,53.0,22.0,37.9,62.1,133.0,219.0,74.0,40.0,14.0,3.0,2.0,146.0,119.0,81.5,0.0,57.1,5.9,37.0,5.0,1.7,10.9,124.0,592.0,,587.0,143,97.2,1.4,0.7,0.0,0.7,0.0,Hamilton,Hamilton-Wenham Regional High School,"Hamilton town, Essex County, Massachusetts",,,,7561,7764,0.058,0.258,0.141,0.494,0.921,0.003,0.0,0.06,0.002,0.011,0.015,0.91,377,0.096,X,0.809,569100,3191,1113,1207,X,2719,2.89,0.893,0.077,0.957,0.936,0.982,0.693,0.042,0.017,0.642,0.566,7982,13465,X,44295,5487.0,35.6,127813,49347,0.119,X,X,X,X,X,759,330,367,F,738,43,693,547.4,14.18,"""2500927900"""
6750000.0,Hamilton-Wenham,Hamilton-Wenham,"1,221",11.8,"1,683",0.5,3.7,5.2,87.8,0.0,0.2,2.7,219.0,38.0,45.0,61.0,53.0,22.0,37.9,62.1,219.0,38.0,45.0,61.0,53.0,22.0,37.9,62.1,133.0,219.0,74.0,40.0,14.0,3.0,2.0,146.0,119.0,81.5,0.0,57.1,5.9,37.0,5.0,1.7,10.9,124.0,592.0,,587.0,143,97.2,1.4,0.7,0.0,0.7,0.0,Wenham,Hamilton-Wenham Regional High School,"Hamilton town, Essex County, Massachusetts",,,,7561,7764,0.058,0.258,0.141,0.494,0.921,0.003,0.0,0.06,0.002,0.011,0.015,0.91,377,0.096,X,0.809,569100,3191,1113,1207,X,2719,2.89,0.893,0.077,0.957,0.936,0.982,0.693,0.042,0.017,0.642,0.566,7982,13465,X,44295,5487.0,35.6,127813,49347,0.119,X,X,X,X,X,759,330,367,F,738,43,693,547.4,14.18,"""2500927900"""
1280000.0,Haverhill,Haverhill,"3,998",17.2,"7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1,483.0,104.0,145.0,131.0,75.0,28.0,51.6,48.4,483.0,104.0,145.0,131.0,75.0,28.0,51.6,48.4,275.0,483.0,142.0,78.0,38.0,14.0,3.0,413.0,235.0,56.9,0.0,28.5,34.9,36.6,34.0,6.0,17.0,110.0,547.0,,545.0,491,80.4,10.4,0.4,1.0,7.7,0.0,Haverhill,Haverhill High School,"Haverhill city, Massachusetts",,,,67787,60879,0.061,0.231,0.127,0.517,0.803,0.036,0.001,0.013,0.0,0.039,0.232,0.697,2827,0.107,X,0.571,300600,1990,748,1208,X,24256,2.58,0.891,0.219,0.929,0.831,0.908,0.298,0.1,0.037,0.722,0.692,100586,364567,719273,677689,10966.0,28.6,69426,33918,0.125,X,X,X,X,X,4361,2364,1573,709,3448,439,3643,1846.5,32.97,"""2529405"""
1440000.0,Ipswich,Ipswich,"1,017",15.1,"1,604",1.3,1.3,7.1,86.3,0.1,0.0,4.0,266.0,9.0,48.0,63.0,66.0,80.0,21.4,78.6,266.0,9.0,48.0,63.0,66.0,80.0,21.4,78.6,121.0,266.0,44.0,31.0,30.0,10.0,6.0,133.0,93.0,69.9,0.0,45.2,11.8,43.0,11.8,7.5,19.4,145.0,575.0,,572.0,142,90.8,4.2,0.0,0.0,4.9,0.0,Ipswich,Ipswich High School,"Ipswich town, Essex County, Massachusetts",,,,13785,13175,0.038,0.206,0.224,0.519,0.944,0.022,0.0,0.009,0.0,0.011,0.042,0.92,781,0.065,X,0.717,485600,2449,886,1145,X,5761,2.4,0.935,0.078,0.906,0.856,0.976,0.541,0.049,0.017,0.662,0.625,25625,16858,282831,94946,7010.0,30.6,93212,52393,0.076,X,X,X,X,X,1655,928,572,F,1599,115,1480,410.3,32.11,"""2500932310"""
