district_name_x,district_code,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",district_name_y,tests_taken_x,score=1,score=2,score=3,score=4,score=5,%_score_1-2,%_score_3-5,district_name_x,tests_takers,tests_taken_y,one_test,two_tests,three_tests,four_tests,five_or_more_tests,district_name_y,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),district_name_x,tests_taken,reading_/_writing,writing,math,district_name_y,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
Abby Kelley Foster Charter Public (District),4450000,     713,18.9,"      1,425",54.3,3.4,19.7,16.8,0.6,0.1,5.1,,,,,,,,,,,,,,,,,,Abby Kelley Foster Charter Public (District),83.0,57.0,68.7,0.0,29.8,22.8,47.4,22.8,15.8,29.8,Abby Kelley Foster Charter Public (District),      12,593.0,,528.0,Abby Kelley Foster Charter Public (District),        87,95.4,1.1,0.0,0.0,3.4,0.0
Abington,10000,"   1,017",19.8,"      2,178",5.0,2.3,11.5,78.7,0.5,0.1,2.0,Abington,     100,      16,      31,      37,      15,       1,47.0,53.0,Abington,      69,     100,      43,      22,       3,       1,       0,Abington,115.0,91.0,79.1,0.0,29.7,17.6,51.6,17.6,16.5,17.6,Abington,      64,565.0,,534.0,Abington,       118,94.1,3.4,0.0,0.0,2.5,0.0
Academy Of the Pacific Rim Charter Public (District),4120000,     201,19.7,        538,62.6,0.7,28.4,6.7,0.0,0.2,1.3,Academy Of the Pacific Rim Charter Public (District),     109,      81,      20,       4,       3,       1,92.7,7.3,Academy Of the Pacific Rim Charter Public (District),      74,     109,      46,      21,       7,       0,       0,Academy Of the Pacific Rim Charter Public (District),44.0,24.0,54.5,0.0,25.0,33.3,41.7,33.3,25.0,16.7,,,,,,Academy Of the Pacific Rim Charter Public (District),        45,93.3,4.4,0.0,2.2,0.0,0.0
Acton-Boxborough,6000000,"   2,368",17.1,"      5,246",3.2,33.6,6.5,51.6,0.1,0.1,5.0,Acton-Boxborough,"   1,070",      12,      55,     158,     344,     501,6.3,93.7,Acton-Boxborough,     451,"   1,070",     137,     136,      94,      49,      35,Acton-Boxborough,451.0,375.0,83.1,0.0,46.1,5.1,48.8,5.1,2.4,18.4,Acton-Boxborough,     487,651.0,,682.0,Acton-Boxborough,       457,97.2,2.0,0.2,0.0,0.7,0.0
Acushnet,30000,     400,15.2,        913,1.2,1.0,4.2,89.8,0.2,0.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District),4300000,     490,18.6,        960,1.9,17.2,7.2,67.6,0.0,0.0,6.2,Advanced Math and Science Academy Charter (District),     504,      29,      74,     142,     127,     132,20.4,79.6,Advanced Math and Science Academy Charter (District),     247,     504,      99,      62,      63,      23,       0,Advanced Math and Science Academy Charter (District),134.0,116.0,86.6,0.0,44.0,5.2,50.9,5.2,3.4,26.7,Advanced Math and Science Academy Charter (District),     164,629.0,,657.0,Advanced Math and Science Academy Charter (District),       134,100.0,0.0,0.0,0.0,0.0,0.0
Agawam,50000,"   2,666",13.7,"      3,476",2.2,3.4,10.9,80.3,0.0,0.0,3.1,Agawam,     209,      27,      65,      55,      39,      23,44.0,56.0,Agawam,     129,     209,      72,      42,       9,       5,       1,Agawam,265.0,173.0,65.3,0.0,50.9,30.1,19.1,28.3,8.7,5.2,Agawam,      64,578.0,,564.0,Agawam,       276,93.5,0.7,1.4,0.0,4.3,0.0
Alma del Mar Charter School (District),4090000,     236,24.1,        791,13.8,0.1,60.7,20.9,0.6,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury,70000,"   1,115",15.1,"      1,869",1.9,1.2,9.7,82.6,0.2,0.1,4.3,Amesbury,     126,      18,      34,      46,      19,       9,41.3,58.7,Amesbury,      84,     126,      43,      40,       1,       0,       0,Amesbury,151.0,102.0,67.5,0.0,33.3,24.5,42.2,22.5,3.9,13.7,Amesbury,      45,596.0,,570.0,Amesbury,       165,87.9,9.1,0.0,0.0,3.0,0.0
Amherst,80000,     392,15.2,"      1,014",10.1,10.9,22.7,48.4,0.4,0.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
