town_low,town_high,distance_mi,rank,hh_income_category,hh_income_value,school_to_school
Lynn,Swampscott,0.0,0,median_household_income_low,56181,Lynn-Swampscott
Lawrence,North Andover,0.0,1,median_household_income_low,44613,Lawrence-North Andover
Salem,Swampscott,0.0,2,median_household_income_low,68808,Salem-Swampscott
Salem,Marblehead,0.0,3,median_household_income_low,68808,Salem-Marblehead
Lawrence,Andover,0.0,4,median_household_income_low,44613,Lawrence-Andover
Lynn,Salem,0.0,5,median_household_income_low,56181,Lynn-Salem
Swampscott,Marblehead,0.0,6,median_household_income_low,113407,Swampscott-Marblehead
Beverly,Danvers,0.0,7,median_household_income_low,80586,Beverly-Danvers
Peabody,Lynnfield,0.0,8,median_household_income_low,73217,Peabody-Lynnfield
Lawrence,Methuen,0.0,9,median_household_income_low,44613,Lawrence-Methuen
Peabody,Danvers,0.0,10,median_household_income_low,73217,Peabody-Danvers
Methuen,North Andover,0.0,11,median_household_income_low,77484,Methuen-North Andover
Andover,North Andover,0.0,12,median_household_income_low,95600,Andover-North Andover
Danvers,Topsfield,0.0,13,median_household_income_low,89250,Danvers-Topsfield
Salisbury,Georgetown,0.0,14,median_household_income_low,81304,Salisbury-Georgetown
Amesbury,Newburyport,0.0,15,median_household_income_low,82468,Amesbury-Newburyport
Lynn,Marblehead,0.0,16,median_household_income_low,56181,Lynn-Marblehead
Ipswich,Hamilton,0.0,17,median_household_income_low,93212,Ipswich-Hamilton
Salem,Peabody,0.0,18,median_household_income_low,68808,Salem-Peabody
Lynn,Saugus,0.0,19,median_household_income_low,56181,Lynn-Saugus
Merrimac,Georgetown,0.0,20,median_household_income_low,84609,Merrimac-Georgetown
Gloucester,Rockport,0.0,21,median_household_income_low,72574,Gloucester-Rockport
Salem,Beverly,0.0,22,median_household_income_low,68808,Salem-Beverly
Beverly,Hamilton,0.0,23,median_household_income_low,80586,Beverly-Hamilton
Haverhill,Groveland,0.0,24,median_household_income_low,69426,Haverhill-Groveland
Peabody,Beverly,0.0,25,median_household_income_low,73217,Peabody-Beverly
Lynn,Peabody,0.0,26,median_household_income_low,56181,Lynn-Peabody
Haverhill,Methuen,0.0,27,median_household_income_low,69426,Haverhill-Methuen
Newbury,Newburyport,0.0,28,median_household_income_low,101875,Newbury-Newburyport
Beverly,Marblehead,0.0,29,median_household_income_low,80586,Beverly-Marblehead
Gloucester,Manchester,0.0,30,median_household_income_low,72574,Gloucester-Manchester
Ipswich,Newbury,0.0,31,median_household_income_low,93212,Ipswich-Newbury
Hamilton,Manchester,0.0,32,median_household_income_low,127813,Hamilton-Manchester
Peabody,Swampscott,0.0,33,median_household_income_low,73217,Peabody-Swampscott
Methuen,Andover,0.0,34,median_household_income_low,77484,Methuen-Andover
Salem,Danvers,0.0,35,median_household_income_low,68808,Salem-Danvers
Danvers,Hamilton,0.0,36,median_household_income_low,89250,Danvers-Hamilton
Saugus,Swampscott,0.0,37,median_household_income_low,88667,Saugus-Swampscott
Saugus,Lynnfield,0.0,38,median_household_income_low,88667,Saugus-Lynnfield
Peabody,Middleton,0.0,39,median_household_income_low,73217,Peabody-Middleton
Newbury,Groveland,0.0,40,median_household_income_low,101875,Newbury-Groveland
Amesbury,Groveland,0.0,41,median_household_income_low,82468,Amesbury-Groveland
Danvers,Lynnfield,0.0,42,median_household_income_low,89250,Danvers-Lynnfield
Beverly,Manchester,0.0,43,median_household_income_low,80586,Beverly-Manchester
Haverhill,North Andover,0.0,44,median_household_income_low,69426,Haverhill-North Andover
Beverly,Swampscott,0.0,45,median_household_income_low,80586,Beverly-Swampscott
Lynn,Lynnfield,0.0,46,median_household_income_low,56181,Lynn-Lynnfield
Peabody,Saugus,0.0,47,median_household_income_low,73217,Peabody-Saugus
Beverly,Middleton,0.0,48,median_household_income_low,80586,Beverly-Middleton
Peabody,Marblehead,0.0,49,median_household_income_low,73217,Peabody-Marblehead
Salem,Saugus,0.0,50,median_household_income_low,68808,Salem-Saugus
Middleton,Hamilton,0.0,51,median_household_income_low,125204,Middleton-Hamilton
Salem,Lynnfield,0.0,52,median_household_income_low,68808,Salem-Lynnfield
Lynnfield,Boxford,0.0,53,median_household_income_low,128641,Lynnfield-Boxford
Merrimac,Newburyport,0.0,54,median_household_income_low,84609,Merrimac-Newburyport
North Andover,Georgetown,0.0,55,median_household_income_low,108070,North Andover-Georgetown
Lynn,Beverly,0.0,56,median_household_income_low,56181,Lynn-Beverly
Georgetown,Boxford,0.0,57,median_household_income_low,128466,Georgetown-Boxford
Lawrence,Haverhill,0.0,58,median_household_income_low,44613,Lawrence-Haverhill
Danvers,Marblehead,0.0,59,median_household_income_low,89250,Danvers-Marblehead
Swampscott,Lynnfield,0.0,60,median_household_income_low,113407,Swampscott-Lynnfield
Danvers,Swampscott,0.0,61,median_household_income_low,89250,Danvers-Swampscott
Ipswich,Georgetown,0.0,62,median_household_income_low,93212,Ipswich-Georgetown
Lynn,Danvers,0.0,63,median_household_income_low,56181,Lynn-Danvers
Amesbury,Newbury,0.0,64,median_household_income_low,82468,Amesbury-Newbury
Haverhill,Georgetown,0.0,65,median_household_income_low,69426,Haverhill-Georgetown
Ipswich,Middleton,0.0,66,median_household_income_low,93212,Ipswich-Middleton
Merrimac,North Andover,0.0,67,median_household_income_low,84609,Merrimac-North Andover
Beverly,Lynnfield,0.0,68,median_household_income_low,80586,Beverly-Lynnfield
Newburyport,Georgetown,0.0,69,median_household_income_low,109839,Newburyport-Georgetown
Saugus,Marblehead,0.0,70,median_household_income_low,88667,Saugus-Marblehead
Marblehead,Manchester,0.0,71,median_household_income_low,123333,Marblehead-Manchester
Lawrence,Georgetown,0.0,72,median_household_income_low,44613,Lawrence-Georgetown
Danvers,Manchester,0.0,73,median_household_income_low,89250,Danvers-Manchester
Danvers,Ipswich,0.0,74,median_household_income_low,89250,Danvers-Ipswich
Ipswich,Manchester,0.0,75,median_household_income_low,93212,Ipswich-Manchester
Peabody,Hamilton,0.0,76,median_household_income_low,73217,Peabody-Hamilton
Beverly,Ipswich,0.0,77,median_household_income_low,80586,Beverly-Ipswich
Newbury,Hamilton,0.0,78,median_household_income_low,101875,Newbury-Hamilton
Methuen,Groveland,0.0,79,median_household_income_low,77484,Methuen-Groveland
Rowley,Topsfield,0.0,80,median_household_income_low,115909,Rowley-Topsfield
Gloucester,Hamilton,0.0,81,median_household_income_low,72574,Gloucester-Hamilton
Ipswich,Newburyport,0.0,82,median_household_income_low,93212,Ipswich-Newburyport
Salem,Middleton,0.0,83,median_household_income_low,68808,Salem-Middleton
North Andover,Middleton,0.0,84,median_household_income_low,108070,North Andover-Middleton
Marblehead,Lynnfield,0.0,85,median_household_income_low,123333,Marblehead-Lynnfield
Amesbury,Georgetown,0.0,86,median_household_income_low,82468,Amesbury-Georgetown
Salem,Hamilton,0.0,87,median_household_income_low,68808,Salem-Hamilton
Salem,Manchester,0.0,88,median_household_income_low,68808,Salem-Manchester
Lawrence,Groveland,0.0,89,median_household_income_low,44613,Lawrence-Groveland
Haverhill,Andover,0.0,90,median_household_income_low,69426,Haverhill-Andover
Rockport,Manchester,0.0,91,median_household_income_low,85208,Rockport-Manchester
Andover,Boxford,0.0,92,median_household_income_low,95600,Andover-Boxford
Methuen,Georgetown,0.0,93,median_household_income_low,77484,Methuen-Georgetown
Haverhill,Amesbury,0.0,94,median_household_income_low,69426,Haverhill-Amesbury
Marblehead,Hamilton,0.0,95,median_household_income_low,123333,Marblehead-Hamilton
Saugus,Danvers,0.0,96,median_household_income_low,88667,Saugus-Danvers
Hamilton,Georgetown,0.0,97,median_household_income_low,127813,Hamilton-Georgetown
Lawrence,Middleton,0.0,98,median_household_income_low,44613,Lawrence-Middleton
Andover,Georgetown,0.0,99,median_household_income_low,95600,Andover-Georgetown
Haverhill,Salisbury,0.0,100,median_household_income_low,69426,Haverhill-Salisbury
Beverly,Saugus,0.0,101,median_household_income_low,80586,Beverly-Saugus
Danvers,Georgetown,0.0,102,median_household_income_low,89250,Danvers-Georgetown
Andover,Lynnfield,0.0,103,median_household_income_low,95600,Andover-Lynnfield
Gloucester,Ipswich,0.0,104,median_household_income_low,72574,Gloucester-Ipswich
Lynn,Boxford,0.0,105,median_household_income_low,56181,Lynn-Boxford
Swampscott,Topsfield,0.0,106,median_household_income_low,113407,Swampscott-Topsfield
Ipswich,Groveland,0.0,107,median_household_income_low,93212,Ipswich-Groveland
North Andover,Rowley,0.0,108,median_household_income_low,108070,North Andover-Rowley
Swampscott,Manchester,0.0,109,median_household_income_low,113407,Swampscott-Manchester
Marblehead,Topsfield,0.0,110,median_household_income_low,123333,Marblehead-Topsfield
Peabody,Manchester,0.0,111,median_household_income_low,73217,Peabody-Manchester
Gloucester,Beverly,0.0,112,median_household_income_low,72574,Gloucester-Beverly
Swampscott,Hamilton,0.0,113,median_household_income_low,113407,Swampscott-Hamilton
Manchester,Boxford,0.0,114,median_household_income_low,148854,Manchester-Boxford
Merrimac,Middleton,0.0,115,median_household_income_low,84609,Merrimac-Middleton
Danvers,Newbury,0.0,116,median_household_income_low,89250,Danvers-Newbury
Hamilton,Lynnfield,0.0,117,median_household_income_low,127813,Hamilton-Lynnfield
Andover,Groveland,0.0,118,median_household_income_low,95600,Andover-Groveland
Haverhill,Newburyport,0.0,119,median_household_income_low,69426,Haverhill-Newburyport
Saugus,Boxford,0.0,120,median_household_income_low,88667,Saugus-Boxford
Lynn,Hamilton,0.0,121,median_household_income_low,56181,Lynn-Hamilton
Lynn,Manchester,0.0,122,median_household_income_low,56181,Lynn-Manchester
Peabody,Ipswich,0.0,123,median_household_income_low,73217,Peabody-Ipswich
North Andover,Lynnfield,0.0,124,median_household_income_low,108070,North Andover-Lynnfield
Lawrence,Lynnfield,0.0,125,median_household_income_low,44613,Lawrence-Lynnfield
Peabody,Andover,0.0,126,median_household_income_low,73217,Peabody-Andover
