town_low,town_high,distance_mi,rank,category,hispanic_pct,school_to_school
Swampscott,Lynn,0.0,0,hispanic_pct_low,12.1,Swampscott-Lynn
North Andover,Lawrence,0.0,1,hispanic_pct_low,13.5,North Andover-Lawrence
Swampscott,Salem,0.0,2,hispanic_pct_low,12.1,Swampscott-Salem
Marblehead,Salem,0.0,3,hispanic_pct_low,6.9,Marblehead-Salem
Andover,Lawrence,0.0,4,hispanic_pct_low,7.9,Andover-Lawrence
Salem,Lynn,0.0,5,hispanic_pct_low,43.9,Salem-Lynn
Marblehead,Swampscott,0.0,6,hispanic_pct_low,6.9,Marblehead-Swampscott
Danvers,Beverly,0.0,7,hispanic_pct_low,9.1,Danvers-Beverly
Lynnfield,Peabody,0.0,8,hispanic_pct_low,5.8,Lynnfield-Peabody
Methuen,Lawrence,0.0,9,hispanic_pct_low,46.0,Methuen-Lawrence
Danvers,Peabody,0.0,10,hispanic_pct_low,9.1,Danvers-Peabody
North Andover,Methuen,0.0,11,hispanic_pct_low,13.5,North Andover-Methuen
Andover,North Andover,0.0,12,hispanic_pct_low,7.9,Andover-North Andover
Topsfield,Danvers,0.0,13,hispanic_pct_low,3.1,Topsfield-Danvers
Georgetown,Salisbury,0.0,14,hispanic_pct_low,2.4,Georgetown-Salisbury
Newburyport,Amesbury,0.0,15,hispanic_pct_low,4.3,Newburyport-Amesbury
Marblehead,Lynn,0.0,16,hispanic_pct_low,6.9,Marblehead-Lynn
Hamilton,Ipswich,0.0,17,hispanic_pct_low,5.2,Hamilton-Ipswich
Peabody,Salem,0.0,18,hispanic_pct_low,19.4,Peabody-Salem
Saugus,Lynn,0.0,19,hispanic_pct_low,22.8,Saugus-Lynn
Georgetown,Merrimac,0.0,20,hispanic_pct_low,2.4,Georgetown-Merrimac
Rockport,Gloucester,0.0,21,hispanic_pct_low,3.6,Rockport-Gloucester
Beverly,Salem,0.0,22,hispanic_pct_low,14.9,Beverly-Salem
Hamilton,Beverly,0.0,23,hispanic_pct_low,5.2,Hamilton-Beverly
Groveland,Haverhill,0.0,24,hispanic_pct_low,6.0,Groveland-Haverhill
Beverly,Peabody,0.0,25,hispanic_pct_low,14.9,Beverly-Peabody
Peabody,Lynn,0.0,26,hispanic_pct_low,19.4,Peabody-Lynn
Haverhill,Methuen,0.0,27,hispanic_pct_low,40.9,Haverhill-Methuen
Newbury,Newburyport,0.0,28,hispanic_pct_low,3.9,Newbury-Newburyport
Marblehead,Beverly,0.0,29,hispanic_pct_low,6.9,Marblehead-Beverly
Manchester,Gloucester,0.0,30,hispanic_pct_low,1.3,Manchester-Gloucester
Newbury,Ipswich,0.0,31,hispanic_pct_low,3.9,Newbury-Ipswich
Manchester,Hamilton,0.0,32,hispanic_pct_low,1.3,Manchester-Hamilton
Swampscott,Peabody,0.0,33,hispanic_pct_low,12.1,Swampscott-Peabody
Andover,Methuen,0.0,34,hispanic_pct_low,7.9,Andover-Methuen
Danvers,Salem,0.0,35,hispanic_pct_low,9.1,Danvers-Salem
Hamilton,Danvers,0.0,36,hispanic_pct_low,5.2,Hamilton-Danvers
Swampscott,Saugus,0.0,37,hispanic_pct_low,12.1,Swampscott-Saugus
Lynnfield,Saugus,0.0,38,hispanic_pct_low,5.8,Lynnfield-Saugus
Middleton,Peabody,0.0,39,hispanic_pct_low,3.1,Middleton-Peabody
Newbury,Groveland,0.0,40,hispanic_pct_low,3.9,Newbury-Groveland
Groveland,Amesbury,0.0,41,hispanic_pct_low,6.0,Groveland-Amesbury
Lynnfield,Danvers,0.0,42,hispanic_pct_low,5.8,Lynnfield-Danvers
Manchester,Beverly,0.0,43,hispanic_pct_low,1.3,Manchester-Beverly
North Andover,Haverhill,0.0,44,hispanic_pct_low,13.5,North Andover-Haverhill
Swampscott,Beverly,0.0,45,hispanic_pct_low,12.1,Swampscott-Beverly
Lynnfield,Lynn,0.0,46,hispanic_pct_low,5.8,Lynnfield-Lynn
Peabody,Saugus,0.0,47,hispanic_pct_low,19.4,Peabody-Saugus
Middleton,Beverly,0.0,48,hispanic_pct_low,3.1,Middleton-Beverly
Marblehead,Peabody,0.0,49,hispanic_pct_low,6.9,Marblehead-Peabody
Saugus,Salem,0.0,50,hispanic_pct_low,22.8,Saugus-Salem
Middleton,Hamilton,0.0,51,hispanic_pct_low,3.1,Middleton-Hamilton
Lynnfield,Salem,0.0,52,hispanic_pct_low,5.8,Lynnfield-Salem
Boxford,Lynnfield,0.0,53,hispanic_pct_low,3.1,Boxford-Lynnfield
Newburyport,Merrimac,0.0,54,hispanic_pct_low,4.3,Newburyport-Merrimac
Georgetown,North Andover,0.0,55,hispanic_pct_low,2.4,Georgetown-North Andover
Beverly,Lynn,0.0,56,hispanic_pct_low,14.9,Beverly-Lynn
Georgetown,Boxford,0.0,57,hispanic_pct_low,2.4,Georgetown-Boxford
Haverhill,Lawrence,0.0,58,hispanic_pct_low,40.9,Haverhill-Lawrence
Marblehead,Danvers,0.0,59,hispanic_pct_low,6.9,Marblehead-Danvers
Lynnfield,Swampscott,0.0,60,hispanic_pct_low,5.8,Lynnfield-Swampscott
Danvers,Swampscott,0.0,61,hispanic_pct_low,9.1,Danvers-Swampscott
Georgetown,Ipswich,0.0,62,hispanic_pct_low,2.4,Georgetown-Ipswich
Danvers,Lynn,0.0,63,hispanic_pct_low,9.1,Danvers-Lynn
Newbury,Amesbury,0.0,64,hispanic_pct_low,3.9,Newbury-Amesbury
Georgetown,Haverhill,0.0,65,hispanic_pct_low,2.4,Georgetown-Haverhill
Middleton,Ipswich,0.0,66,hispanic_pct_low,3.1,Middleton-Ipswich
Merrimac,North Andover,0.0,67,hispanic_pct_low,6.0,Merrimac-North Andover
Lynnfield,Beverly,0.0,68,hispanic_pct_low,5.8,Lynnfield-Beverly
Georgetown,Newburyport,0.0,69,hispanic_pct_low,2.4,Georgetown-Newburyport
Marblehead,Saugus,0.0,70,hispanic_pct_low,6.9,Marblehead-Saugus
Manchester,Marblehead,0.0,71,hispanic_pct_low,1.3,Manchester-Marblehead
Georgetown,Lawrence,0.0,72,hispanic_pct_low,2.4,Georgetown-Lawrence
Manchester,Danvers,0.0,73,hispanic_pct_low,1.3,Manchester-Danvers
Ipswich,Danvers,0.0,74,hispanic_pct_low,7.1,Ipswich-Danvers
Manchester,Ipswich,0.0,75,hispanic_pct_low,1.3,Manchester-Ipswich
Hamilton,Peabody,0.0,76,hispanic_pct_low,5.2,Hamilton-Peabody
Ipswich,Beverly,0.0,77,hispanic_pct_low,7.1,Ipswich-Beverly
Newbury,Hamilton,0.0,78,hispanic_pct_low,3.9,Newbury-Hamilton
Groveland,Methuen,0.0,79,hispanic_pct_low,6.0,Groveland-Methuen
Topsfield,Rowley,0.0,80,hispanic_pct_low,3.1,Topsfield-Rowley
Hamilton,Gloucester,0.0,81,hispanic_pct_low,5.2,Hamilton-Gloucester
Newburyport,Ipswich,0.0,82,hispanic_pct_low,4.3,Newburyport-Ipswich
Middleton,Salem,0.0,83,hispanic_pct_low,3.1,Middleton-Salem
Middleton,North Andover,0.0,84,hispanic_pct_low,3.1,Middleton-North Andover
Lynnfield,Marblehead,0.0,85,hispanic_pct_low,5.8,Lynnfield-Marblehead
Georgetown,Amesbury,0.0,86,hispanic_pct_low,2.4,Georgetown-Amesbury
Hamilton,Salem,0.0,87,hispanic_pct_low,5.2,Hamilton-Salem
Manchester,Salem,0.0,88,hispanic_pct_low,1.3,Manchester-Salem
Groveland,Lawrence,0.0,89,hispanic_pct_low,6.0,Groveland-Lawrence
Andover,Haverhill,0.0,90,hispanic_pct_low,7.9,Andover-Haverhill
Manchester,Rockport,0.0,91,hispanic_pct_low,1.3,Manchester-Rockport
Boxford,Andover,0.0,92,hispanic_pct_low,3.1,Boxford-Andover
Georgetown,Methuen,0.0,93,hispanic_pct_low,2.4,Georgetown-Methuen
Amesbury,Haverhill,0.0,94,hispanic_pct_low,9.7,Amesbury-Haverhill
Hamilton,Marblehead,0.0,95,hispanic_pct_low,5.2,Hamilton-Marblehead
Danvers,Saugus,0.0,96,hispanic_pct_low,9.1,Danvers-Saugus
Georgetown,Hamilton,0.0,97,hispanic_pct_low,2.4,Georgetown-Hamilton
Middleton,Lawrence,0.0,98,hispanic_pct_low,3.1,Middleton-Lawrence
Georgetown,Andover,0.0,99,hispanic_pct_low,2.4,Georgetown-Andover
Salisbury,Haverhill,0.0,100,hispanic_pct_low,3.9,Salisbury-Haverhill
Beverly,Saugus,0.0,101,hispanic_pct_low,14.9,Beverly-Saugus
Georgetown,Danvers,0.0,102,hispanic_pct_low,2.4,Georgetown-Danvers
Lynnfield,Andover,0.0,103,hispanic_pct_low,5.8,Lynnfield-Andover
Ipswich,Gloucester,0.0,104,hispanic_pct_low,7.1,Ipswich-Gloucester
Boxford,Lynn,0.0,105,hispanic_pct_low,3.1,Boxford-Lynn
Topsfield,Swampscott,0.0,106,hispanic_pct_low,3.1,Topsfield-Swampscott
Groveland,Ipswich,0.0,107,hispanic_pct_low,6.0,Groveland-Ipswich
Rowley,North Andover,0.0,108,hispanic_pct_low,3.9,Rowley-North Andover
Manchester,Swampscott,0.0,109,hispanic_pct_low,1.3,Manchester-Swampscott
Topsfield,Marblehead,0.0,110,hispanic_pct_low,3.1,Topsfield-Marblehead
Manchester,Peabody,0.0,111,hispanic_pct_low,1.3,Manchester-Peabody
Gloucester,Beverly,0.0,112,hispanic_pct_low,12.9,Gloucester-Beverly
Hamilton,Swampscott,0.0,113,hispanic_pct_low,5.2,Hamilton-Swampscott
Manchester,Boxford,0.0,114,hispanic_pct_low,1.3,Manchester-Boxford
Middleton,Merrimac,0.0,115,hispanic_pct_low,3.1,Middleton-Merrimac
Newbury,Danvers,0.0,116,hispanic_pct_low,3.9,Newbury-Danvers
Hamilton,Lynnfield,0.0,117,hispanic_pct_low,5.2,Hamilton-Lynnfield
Groveland,Andover,0.0,118,hispanic_pct_low,6.0,Groveland-Andover
Newburyport,Haverhill,0.0,119,hispanic_pct_low,4.3,Newburyport-Haverhill
Boxford,Saugus,0.0,120,hispanic_pct_low,3.1,Boxford-Saugus
Hamilton,Lynn,0.0,121,hispanic_pct_low,5.2,Hamilton-Lynn
Manchester,Lynn,0.0,122,hispanic_pct_low,1.3,Manchester-Lynn
Ipswich,Peabody,0.0,123,hispanic_pct_low,7.1,Ipswich-Peabody
Lynnfield,North Andover,0.0,124,hispanic_pct_low,5.8,Lynnfield-North Andover
Lynnfield,Lawrence,0.0,125,hispanic_pct_low,5.8,Lynnfield-Lawrence
Andover,Peabody,0.0,126,hispanic_pct_low,7.9,Andover-Peabody
Ipswich,Amesbury,0.0,127,hispanic_pct_low,7.1,Ipswich-Amesbury
Rowley,Lawrence,0.0,128,hispanic_pct_low,3.9,Rowley-Lawrence
Rockport,Hamilton,0.0,129,hispanic_pct_low,3.6,Rockport-Hamilton
Georgetown,Beverly,0.0,130,hispanic_pct_low,2.4,Georgetown-Beverly
Georgetown,Peabody,0.0,131,hispanic_pct_low,2.4,Georgetown-Peabody
Topsfield,Methuen,0.0,132,hispanic_pct_low,3.1,Topsfield-Methuen
Danvers,North Andover,0.0,133,hispanic_pct_low,9.1,Danvers-North Andover
Andover,Danvers,0.0,134,hispanic_pct_low,7.9,Andover-Danvers
Rockport,Ipswich,0.0,135,hispanic_pct_low,3.6,Rockport-Ipswich
Newbury,Beverly,0.0,136,hispanic_pct_low,3.9,Newbury-Beverly
Newburyport,Hamilton,0.0,137,hispanic_pct_low,4.3,Newburyport-Hamilton
Marblehead,Gloucester,0.0,138,hispanic_pct_low,6.9,Marblehead-Gloucester
Ipswich,Salem,0.0,139,hispanic_pct_low,7.1,Ipswich-Salem
Newbury,Methuen,0.0,140,hispanic_pct_low,3.9,Newbury-Methuen
North Andover,Peabody,0.0,141,hispanic_pct_low,13.5,North Andover-Peabody
Georgetown,Lynnfield,0.0,142,hispanic_pct_low,2.4,Georgetown-Lynnfield
Middleton,Haverhill,0.0,143,hispanic_pct_low,3.1,Middleton-Haverhill
Danvers,Gloucester,0.0,144,hispanic_pct_low,9.1,Danvers-Gloucester
Danvers,Lawrence,0.0,145,hispanic_pct_low,9.1,Danvers-Lawrence
Peabody,Lawrence,0.0,146,hispanic_pct_low,19.4,Peabody-Lawrence
Ipswich,North Andover,0.0,147,hispanic_pct_low,7.1,Ipswich-North Andover
Rowley,Andover,0.0,148,hispanic_pct_low,3.9,Rowley-Andover
Manchester,Newbury,0.0,149,hispanic_pct_low,1.3,Manchester-Newbury
Hamilton,Groveland,0.0,150,hispanic_pct_low,5.2,Hamilton-Groveland
Marblehead,Ipswich,0.0,151,hispanic_pct_low,6.9,Marblehead-Ipswich
Amesbury,North Andover,0.0,152,hispanic_pct_low,9.7,Amesbury-North Andover
Boxford,Newburyport,0.0,153,hispanic_pct_low,3.1,Boxford-Newburyport
Lynnfield,Ipswich,0.0,154,hispanic_pct_low,5.8,Lynnfield-Ipswich
Manchester,Lynnfield,0.0,155,hispanic_pct_low,1.3,Manchester-Lynnfield
Newburyport,North Andover,0.0,156,hispanic_pct_low,4.3,Newburyport-North Andover
Gloucester,Salem,0.0,157,hispanic_pct_low,12.9,Gloucester-Salem
Newbury,Peabody,0.0,158,hispanic_pct_low,3.9,Newbury-Peabody
Amesbury,Methuen,0.0,159,hispanic_pct_low,9.7,Amesbury-Methuen
Merrimac,Danvers,0.0,160,hispanic_pct_low,6.0,Merrimac-Danvers
Hamilton,North Andover,0.0,161,hispanic_pct_low,5.2,Hamilton-North Andover
Hamilton,Saugus,0.0,162,hispanic_pct_low,5.2,Hamilton-Saugus
Ipswich,Haverhill,0.0,163,hispanic_pct_low,7.1,Ipswich-Haverhill
Manchester,Georgetown,0.0,164,hispanic_pct_low,1.3,Manchester-Georgetown
Ipswich,Swampscott,0.0,165,hispanic_pct_low,7.1,Ipswich-Swampscott
Ipswich,Lawrence,0.0,166,hispanic_pct_low,7.1,Ipswich-Lawrence
Rockport,Beverly,0.0,167,hispanic_pct_low,3.6,Rockport-Beverly
Amesbury,Lawrence,0.0,168,hispanic_pct_low,9.7,Amesbury-Lawrence
Lynnfield,Methuen,0.0,169,hispanic_pct_low,5.8,Lynnfield-Methuen
Andover,Saugus,0.0,170,hispanic_pct_low,7.9,Andover-Saugus
Salisbury,Gloucester,0.0,171,hispanic_pct_low,3.9,Salisbury-Gloucester
North Andover,Beverly,0.0,172,hispanic_pct_low,13.5,North Andover-Beverly
Boxford,Gloucester,0.0,173,hispanic_pct_low,3.1,Boxford-Gloucester
Andover,Beverly,0.0,174,hispanic_pct_low,7.9,Andover-Beverly
Rowley,Lynnfield,0.0,175,hispanic_pct_low,3.9,Rowley-Lynnfield
Ipswich,Lynn,0.0,176,hispanic_pct_low,7.1,Ipswich-Lynn
Newburyport,Methuen,0.0,177,hispanic_pct_low,4.3,Newburyport-Methuen
Manchester,Saugus,0.0,178,hispanic_pct_low,1.3,Manchester-Saugus
Swampscott,Gloucester,0.0,179,hispanic_pct_low,12.1,Swampscott-Gloucester
Georgetown,Salem,0.0,180,hispanic_pct_low,2.4,Georgetown-Salem
Newburyport,Lawrence,0.0,181,hispanic_pct_low,4.3,Newburyport-Lawrence
Ipswich,Andover,0.0,182,hispanic_pct_low,7.1,Ipswich-Andover
Hamilton,Lawrence,0.0,183,hispanic_pct_low,5.2,Hamilton-Lawrence
Middleton,Amesbury,0.0,184,hispanic_pct_low,3.1,Middleton-Amesbury
Hamilton,Andover,0.0,185,hispanic_pct_low,5.2,Hamilton-Andover
Gloucester,Peabody,0.0,186,hispanic_pct_low,12.9,Gloucester-Peabody
Beverly,Lawrence,0.0,187,hispanic_pct_low,14.9,Beverly-Lawrence
Danvers,Methuen,0.0,188,hispanic_pct_low,9.1,Danvers-Methuen
Hamilton,Amesbury,0.0,189,hispanic_pct_low,5.2,Hamilton-Amesbury
Newburyport,Danvers,0.0,190,hispanic_pct_low,4.3,Newburyport-Danvers
Andover,Salem,0.0,191,hispanic_pct_low,7.9,Andover-Salem
Newbury,Salem,0.0,192,hispanic_pct_low,3.9,Newbury-Salem
Peabody,Methuen,0.0,193,hispanic_pct_low,19.4,Peabody-Methuen
Andover,Lynn,0.0,194,hispanic_pct_low,7.9,Andover-Lynn
Groveland,Beverly,0.0,195,hispanic_pct_low,6.0,Groveland-Beverly
Ipswich,Methuen,0.0,196,hispanic_pct_low,7.1,Ipswich-Methuen
Gloucester,Lynn,0.0,197,hispanic_pct_low,12.9,Gloucester-Lynn
Groveland,Peabody,0.0,198,hispanic_pct_low,6.0,Groveland-Peabody
Danvers,Haverhill,0.0,199,hispanic_pct_low,9.1,Danvers-Haverhill
Rockport,Newbury,0.0,200,hispanic_pct_low,3.6,Rockport-Newbury
Lynnfield,Groveland,0.0,201,hispanic_pct_low,5.8,Lynnfield-Groveland
North Andover,Salem,0.0,202,hispanic_pct_low,13.5,North Andover-Salem
Rockport,Danvers,0.0,203,hispanic_pct_low,3.6,Rockport-Danvers
Georgetown,Marblehead,0.0,204,hispanic_pct_low,2.4,Georgetown-Marblehead
Manchester,Newburyport,0.0,205,hispanic_pct_low,1.3,Manchester-Newburyport
Saugus,Lawrence,0.0,206,hispanic_pct_low,22.8,Saugus-Lawrence
Hamilton,Haverhill,0.0,207,hispanic_pct_low,5.2,Hamilton-Haverhill
Andover,Swampscott,0.0,208,hispanic_pct_low,7.9,Andover-Swampscott
Newburyport,Beverly,0.0,209,hispanic_pct_low,4.3,Newburyport-Beverly
Andover,Amesbury,0.0,210,hispanic_pct_low,7.9,Andover-Amesbury
Rockport,Marblehead,0.0,211,hispanic_pct_low,3.6,Rockport-Marblehead
Georgetown,Lynn,0.0,212,hispanic_pct_low,2.4,Georgetown-Lynn
North Andover,Saugus,0.0,213,hispanic_pct_low,13.5,North Andover-Saugus
Georgetown,Swampscott,0.0,214,hispanic_pct_low,2.4,Georgetown-Swampscott
