town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Lynn,Swampscott,0.0,0,pct_graduated_low,79.0,Lynn-Swampscott
Lawrence,North Andover,0.0,1,pct_graduated_low,72.8,Lawrence-North Andover
Salem,Swampscott,0.0,2,pct_graduated_low,73.9,Salem-Swampscott
Salem,Marblehead,0.0,3,pct_graduated_low,73.9,Salem-Marblehead
Lawrence,Andover,0.0,4,pct_graduated_low,72.8,Lawrence-Andover
Salem,Lynn,0.0,5,pct_graduated_low,73.9,Salem-Lynn
Marblehead,Swampscott,0.0,6,pct_graduated_low,95.1,Marblehead-Swampscott
Beverly,Danvers,0.0,7,pct_graduated_low,91.0,Beverly-Danvers
Peabody,Lynnfield,0.0,8,pct_graduated_low,88.0,Peabody-Lynnfield
Lawrence,Methuen,0.0,9,pct_graduated_low,72.8,Lawrence-Methuen
Peabody,Danvers,0.0,10,pct_graduated_low,88.0,Peabody-Danvers
Methuen,North Andover,0.0,11,pct_graduated_low,93.2,Methuen-North Andover
Andover,North Andover,0.0,12,pct_graduated_low,95.2,Andover-North Andover
Danvers,Topsfield,0.0,13,pct_graduated_low,95.8,Danvers-Topsfield
Salisbury,Georgetown,0.0,14,pct_graduated_low,89.5,Salisbury-Georgetown
Amesbury,Newburyport,0.0,15,pct_graduated_low,87.9,Amesbury-Newburyport
Lynn,Marblehead,0.0,16,pct_graduated_low,79.0,Lynn-Marblehead
Ipswich,Hamilton,0.0,17,pct_graduated_low,90.8,Ipswich-Hamilton
Salem,Peabody,0.0,18,pct_graduated_low,73.9,Salem-Peabody
Lynn,Saugus,0.0,19,pct_graduated_low,79.0,Lynn-Saugus
Merrimac,Georgetown,0.0,20,pct_graduated_low,94.7,Merrimac-Georgetown
Gloucester,Rockport,0.0,21,pct_graduated_low,83.7,Gloucester-Rockport
Salem,Beverly,0.0,22,pct_graduated_low,73.9,Salem-Beverly
Beverly,Hamilton,0.0,23,pct_graduated_low,91.0,Beverly-Hamilton
Haverhill,Groveland,0.0,24,pct_graduated_low,80.4,Haverhill-Groveland
Peabody,Beverly,0.0,25,pct_graduated_low,88.0,Peabody-Beverly
Lynn,Peabody,0.0,26,pct_graduated_low,79.0,Lynn-Peabody
Haverhill,Methuen,0.0,27,pct_graduated_low,80.4,Haverhill-Methuen
Newbury,Newburyport,0.0,28,pct_graduated_low,89.5,Newbury-Newburyport
Beverly,Marblehead,0.0,29,pct_graduated_low,91.0,Beverly-Marblehead
Gloucester,Manchester,0.0,30,pct_graduated_low,83.7,Gloucester-Manchester
Newbury,Ipswich,0.0,31,pct_graduated_low,89.5,Newbury-Ipswich
Hamilton,Manchester,0.0,32,pct_graduated_low,97.2,Hamilton-Manchester
Peabody,Swampscott,0.0,33,pct_graduated_low,88.0,Peabody-Swampscott
Methuen,Andover,0.0,34,pct_graduated_low,93.2,Methuen-Andover
Salem,Danvers,0.0,35,pct_graduated_low,73.9,Salem-Danvers
Danvers,Hamilton,0.0,36,pct_graduated_low,95.8,Danvers-Hamilton
Saugus,Swampscott,0.0,37,pct_graduated_low,87.7,Saugus-Swampscott
Saugus,Lynnfield,0.0,38,pct_graduated_low,87.7,Saugus-Lynnfield
Peabody,Middleton,0.0,39,pct_graduated_low,88.0,Peabody-Middleton
Newbury,Groveland,0.0,40,pct_graduated_low,89.5,Newbury-Groveland
Amesbury,Groveland,0.0,41,pct_graduated_low,87.9,Amesbury-Groveland
Danvers,Lynnfield,0.0,42,pct_graduated_low,95.8,Danvers-Lynnfield
Beverly,Manchester,0.0,43,pct_graduated_low,91.0,Beverly-Manchester
Haverhill,North Andover,0.0,44,pct_graduated_low,80.4,Haverhill-North Andover
Beverly,Swampscott,0.0,45,pct_graduated_low,91.0,Beverly-Swampscott
Lynn,Lynnfield,0.0,46,pct_graduated_low,79.0,Lynn-Lynnfield
Saugus,Peabody,0.0,47,pct_graduated_low,87.7,Saugus-Peabody
Beverly,Middleton,0.0,48,pct_graduated_low,91.0,Beverly-Middleton
Peabody,Marblehead,0.0,49,pct_graduated_low,88.0,Peabody-Marblehead
Salem,Saugus,0.0,50,pct_graduated_low,73.9,Salem-Saugus
Middleton,Hamilton,0.0,51,pct_graduated_low,95.9,Middleton-Hamilton
Salem,Lynnfield,0.0,52,pct_graduated_low,73.9,Salem-Lynnfield
Boxford,Lynnfield,0.0,53,pct_graduated_low,95.9,Boxford-Lynnfield
Newburyport,Merrimac,0.0,54,pct_graduated_low,94.6,Newburyport-Merrimac
Georgetown,North Andover,0.0,55,pct_graduated_low,95.5,Georgetown-North Andover
Lynn,Beverly,0.0,56,pct_graduated_low,79.0,Lynn-Beverly
Georgetown,Boxford,0.0,57,pct_graduated_low,95.5,Georgetown-Boxford
