town_low,town_high,distance_mi,rank,category,uni_pct,school_to_school
Lynn,Swampscott,0.0,0,uni_pct_low,41.1,Lynn-Swampscott
Lawrence,North Andover,0.0,1,uni_pct_low,45.7,Lawrence-North Andover
Salem,Swampscott,0.0,2,uni_pct_low,50.2,Salem-Swampscott
Salem,Marblehead,0.0,3,uni_pct_low,50.2,Salem-Marblehead
Lawrence,Andover,0.0,4,uni_pct_low,45.7,Lawrence-Andover
Lynn,Salem,0.0,5,uni_pct_low,41.1,Lynn-Salem
Swampscott,Marblehead,0.0,6,uni_pct_low,77.5,Swampscott-Marblehead
Danvers,Beverly,0.0,7,uni_pct_low,70.9,Danvers-Beverly
Peabody,Lynnfield,0.0,8,uni_pct_low,60.9,Peabody-Lynnfield
Lawrence,Methuen,0.0,9,uni_pct_low,45.7,Lawrence-Methuen
Peabody,Danvers,0.0,10,uni_pct_low,60.9,Peabody-Danvers
Methuen,North Andover,0.0,11,uni_pct_low,60.0,Methuen-North Andover
Andover,North Andover,0.0,12,uni_pct_low,81.1,Andover-North Andover
Danvers,Topsfield,0.0,13,uni_pct_low,70.9,Danvers-Topsfield
Salisbury,Georgetown,0.0,14,uni_pct_low,67.2,Salisbury-Georgetown
Amesbury,Newburyport,0.0,15,uni_pct_low,67.5,Amesbury-Newburyport
Lynn,Marblehead,0.0,16,uni_pct_low,41.1,Lynn-Marblehead
Ipswich,Hamilton,0.0,17,uni_pct_low,69.9,Ipswich-Hamilton
Salem,Peabody,0.0,18,uni_pct_low,50.2,Salem-Peabody
Lynn,Saugus,0.0,19,uni_pct_low,41.1,Lynn-Saugus
Merrimac,Georgetown,0.0,20,uni_pct_low,80.2,Merrimac-Georgetown
Gloucester,Rockport,0.0,21,uni_pct_low,49.2,Gloucester-Rockport
Salem,Beverly,0.0,22,uni_pct_low,50.2,Salem-Beverly
Beverly,Hamilton,0.0,23,uni_pct_low,75.1,Beverly-Hamilton
Haverhill,Groveland,0.0,24,uni_pct_low,56.9,Haverhill-Groveland
Peabody,Beverly,0.0,25,uni_pct_low,60.9,Peabody-Beverly
Lynn,Peabody,0.0,26,uni_pct_low,41.1,Lynn-Peabody
