town_low,town_high,distance_mi,rank,category,white_pct,school_to_school
Lynn,Swampscott,0.0,0,white_pct_low,13.0,Lynn-Swampscott
Lawrence,North Andover,0.0,1,white_pct_low,3.2,Lawrence-North Andover
Salem,Swampscott,0.0,2,white_pct_low,42.4,Salem-Swampscott
Salem,Marblehead,0.0,3,white_pct_low,42.4,Salem-Marblehead
Lawrence,Andover,0.0,4,white_pct_low,3.2,Lawrence-Andover
Lynn,Salem,0.0,5,white_pct_low,13.0,Lynn-Salem
Swampscott,Marblehead,0.0,6,white_pct_low,78.1,Swampscott-Marblehead
Beverly,Danvers,0.0,7,white_pct_low,75.0,Beverly-Danvers
Peabody,Lynnfield,0.0,8,white_pct_low,72.5,Peabody-Lynnfield
Lawrence,Methuen,0.0,9,white_pct_low,3.2,Lawrence-Methuen
Peabody,Danvers,0.0,10,white_pct_low,72.5,Peabody-Danvers
Methuen,North Andover,0.0,11,white_pct_low,42.6,Methuen-North Andover
Andover,North Andover,0.0,12,white_pct_low,66.5,Andover-North Andover
Danvers,Topsfield,0.0,13,white_pct_low,83.6,Danvers-Topsfield
Salisbury,Georgetown,0.0,14,white_pct_low,90.1,Salisbury-Georgetown
Amesbury,Newburyport,0.0,15,white_pct_low,82.6,Amesbury-Newburyport
Lynn,Marblehead,0.0,16,white_pct_low,13.0,Lynn-Marblehead
Ipswich,Hamilton,0.0,17,white_pct_low,86.3,Ipswich-Hamilton
Salem,Peabody,0.0,18,white_pct_low,42.4,Salem-Peabody
Lynn,Saugus,0.0,19,white_pct_low,13.0,Lynn-Saugus
Merrimac,Georgetown,0.0,20,white_pct_low,89.9,Merrimac-Georgetown
Gloucester,Rockport,0.0,21,white_pct_low,79.7,Gloucester-Rockport
Salem,Beverly,0.0,22,white_pct_low,42.4,Salem-Beverly
Beverly,Hamilton,0.0,23,white_pct_low,75.0,Beverly-Hamilton
Haverhill,Groveland,0.0,24,white_pct_low,49.7,Haverhill-Groveland
Peabody,Beverly,0.0,25,white_pct_low,72.5,Peabody-Beverly
Lynn,Peabody,0.0,26,white_pct_low,13.0,Lynn-Peabody
Methuen,Haverhill,0.0,27,white_pct_low,42.6,Methuen-Haverhill
Newbury,Newburyport,0.0,28,white_pct_low,90.1,Newbury-Newburyport
Beverly,Marblehead,0.0,29,white_pct_low,75.0,Beverly-Marblehead
Gloucester,Manchester,0.0,30,white_pct_low,79.7,Gloucester-Manchester
Ipswich,Newbury,0.0,31,white_pct_low,86.3,Ipswich-Newbury
Hamilton,Manchester,0.0,32,white_pct_low,87.8,Hamilton-Manchester
Peabody,Swampscott,0.0,33,white_pct_low,72.5,Peabody-Swampscott
Methuen,Andover,0.0,34,white_pct_low,42.6,Methuen-Andover
Salem,Danvers,0.0,35,white_pct_low,42.4,Salem-Danvers
Danvers,Hamilton,0.0,36,white_pct_low,83.6,Danvers-Hamilton
Saugus,Swampscott,0.0,37,white_pct_low,62.5,Saugus-Swampscott
Saugus,Lynnfield,0.0,38,white_pct_low,62.5,Saugus-Lynnfield
Peabody,Middleton,0.0,39,white_pct_low,72.5,Peabody-Middleton
Groveland,Newbury,0.0,40,white_pct_low,89.9,Groveland-Newbury
Amesbury,Groveland,0.0,41,white_pct_low,82.6,Amesbury-Groveland
Lynnfield,Danvers,0.0,42,white_pct_low,82.2,Lynnfield-Danvers
Beverly,Manchester,0.0,43,white_pct_low,75.0,Beverly-Manchester
Haverhill,North Andover,0.0,44,white_pct_low,49.7,Haverhill-North Andover
Beverly,Swampscott,0.0,45,white_pct_low,75.0,Beverly-Swampscott
Lynn,Lynnfield,0.0,46,white_pct_low,13.0,Lynn-Lynnfield
Saugus,Peabody,0.0,47,white_pct_low,62.5,Saugus-Peabody
Beverly,Middleton,0.0,48,white_pct_low,75.0,Beverly-Middleton
Peabody,Marblehead,0.0,49,white_pct_low,72.5,Peabody-Marblehead
Salem,Saugus,0.0,50,white_pct_low,42.4,Salem-Saugus
Hamilton,Middleton,0.0,51,white_pct_low,87.8,Hamilton-Middleton
Salem,Lynnfield,0.0,52,white_pct_low,42.4,Salem-Lynnfield
Lynnfield,Boxford,0.0,53,white_pct_low,82.2,Lynnfield-Boxford
Merrimac,Newburyport,0.0,54,white_pct_low,89.9,Merrimac-Newburyport
North Andover,Georgetown,0.0,55,white_pct_low,72.5,North Andover-Georgetown
Lynn,Beverly,0.0,56,white_pct_low,13.0,Lynn-Beverly
Boxford,Georgetown,0.0,57,white_pct_low,90.0,Boxford-Georgetown
Lawrence,Haverhill,0.0,58,white_pct_low,3.2,Lawrence-Haverhill
Danvers,Marblehead,0.0,59,white_pct_low,83.6,Danvers-Marblehead
Swampscott,Lynnfield,0.0,60,white_pct_low,78.1,Swampscott-Lynnfield
Swampscott,Danvers,0.0,61,white_pct_low,78.1,Swampscott-Danvers
Ipswich,Georgetown,0.0,62,white_pct_low,86.3,Ipswich-Georgetown
Lynn,Danvers,0.0,63,white_pct_low,13.0,Lynn-Danvers
Amesbury,Newbury,0.0,64,white_pct_low,82.6,Amesbury-Newbury
Haverhill,Georgetown,0.0,65,white_pct_low,49.7,Haverhill-Georgetown
Ipswich,Middleton,0.0,66,white_pct_low,86.3,Ipswich-Middleton
North Andover,Merrimac,0.0,67,white_pct_low,72.5,North Andover-Merrimac
Beverly,Lynnfield,0.0,68,white_pct_low,75.0,Beverly-Lynnfield
Newburyport,Georgetown,0.0,69,white_pct_low,90.3,Newburyport-Georgetown
