school_to_school,distance_mi,town,year,hh_income,rank,category
Lynn-Swampscott,1.196055302079143,Lynn,1979,46904.0,0,x_hh_income
Lawrence-North Andover,1.5855866438822594,Lawrence,1979,39108.0,1,x_hh_income
Salem-Swampscott,1.9363245470077504,Salem,1979,49457.0,2,x_hh_income
Salem-Marblehead,2.361965084725948,Salem,1979,49457.0,3,x_hh_income
Lawrence-Andover,2.4075788470636974,Lawrence,1979,39108.0,4,x_hh_income
Lynn-Salem,2.620759071282193,Lynn,1979,46904.0,5,x_hh_income
Swampscott-Marblehead,2.7700866048205146,Swampscott,1979,78559.0,6,x_hh_income
Beverly-Danvers,2.820942616776508,Beverly,1979,61261.0,7,x_hh_income
Peabody-Lynnfield,3.0211280959779665,Peabody,1979,67532.0,8,x_hh_income
Lawrence-Methuen,3.190858545165007,Lawrence,1979,39108.0,9,x_hh_income
Peabody-Danvers,3.3831848090871595,Peabody,1979,67532.0,10,x_hh_income
Methuen-North Andover,3.582984079375072,Methuen,1979,61849.0,11,x_hh_income
Andover-North Andover,3.5890416313744566,Andover,1979,88976.0,12,x_hh_income
Danvers-Topsfield,3.717251074636475,Danvers,1979,71502.0,13,x_hh_income
Salisbury-Georgetown,3.814898481551445,Salisbury,1979,53766.0,14,x_hh_income
Amesbury-Newburyport,3.8692811155221,Amesbury,1979,52538.0,15,x_hh_income
Lynn-Marblehead,3.9489579065240856,Lynn,1979,46904.0,16,x_hh_income
Ipswich-Hamilton,4.140077970284551,Ipswich,1979,67379.0,17,x_hh_income
Salem-Peabody,4.141631838811724,Salem,1979,49457.0,18,x_hh_income
Lynn-Saugus,4.160763648971105,Lynn,1979,46904.0,19,x_hh_income
Merrimac-Georgetown,4.28828278923016,Merrimac,1979,59498.0,20,x_hh_income
Gloucester-Rockport,4.3171524484408135,Gloucester,1979,51063.0,21,x_hh_income
Salem-Beverly,4.327777882741018,Salem,1979,49457.0,22,x_hh_income
Beverly-Hamilton,4.72845942483406,Beverly,1979,61261.0,23,x_hh_income
Haverhill-Groveland,4.762942120764938,Haverhill,1979,49111.0,24,x_hh_income
Peabody-Beverly,4.935838087070542,Peabody,1979,67532.0,25,x_hh_income
Lynn-Peabody,4.94029677394803,Lynn,1979,46904.0,26,x_hh_income
Haverhill-Methuen,4.97318960159047,Haverhill,1979,49111.0,27,x_hh_income
Newbury-Newburyport,5.008180269711917,Newbury,1979,68671.0,28,x_hh_income
Beverly-Marblehead,5.037819794778186,Beverly,1979,61261.0,29,x_hh_income
Gloucester-Manchester,5.06495176646527,Gloucester,1979,51063.0,30,x_hh_income
Ipswich-Newbury,5.0819856969992605,Ipswich,1979,67379.0,31,x_hh_income
Hamilton-Manchester,5.254430247077268,Hamilton,1979,85278.0,32,x_hh_income
Peabody-Swampscott,5.289150594497587,Peabody,1979,67532.0,33,x_hh_income
Methuen-Andover,5.306090018823177,Methuen,1979,61849.0,34,x_hh_income
Salem-Danvers,5.330710306255406,Salem,1979,49457.0,35,x_hh_income
Danvers-Hamilton,5.335146344153019,Danvers,1979,71502.0,36,x_hh_income
Saugus-Swampscott,5.349151489056062,Saugus,1979,69615.0,37,x_hh_income
Saugus-Lynnfield,5.433577113105851,Saugus,1979,69615.0,38,x_hh_income
Peabody-Middleton,5.5454252943224684,Peabody,1979,67532.0,39,x_hh_income
Newbury-Groveland,5.590551585369322,Newbury,1979,68671.0,40,x_hh_income
Amesbury-Groveland,5.917174839382962,Amesbury,1979,52538.0,41,x_hh_income
Danvers-Lynnfield,5.964400140329401,Danvers,1979,71502.0,42,x_hh_income
Beverly-Manchester,5.971410704235797,Beverly,1979,61261.0,43,x_hh_income
Haverhill-North Andover,6.005102278445393,Haverhill,1979,49111.0,44,x_hh_income
Beverly-Swampscott,6.252890130243487,Beverly,1979,61261.0,45,x_hh_income
Lynn-Lynnfield,6.268752525050366,Lynn,1979,46904.0,46,x_hh_income
Peabody-Saugus,6.286835159897371,Peabody,1979,67532.0,47,x_hh_income
Beverly-Middleton,6.352256480398708,Beverly,1979,61261.0,48,x_hh_income
Peabody-Marblehead,6.446932447408488,Peabody,1979,67532.0,49,x_hh_income
Salem-Saugus,6.465266029224285,Salem,1979,49457.0,50,x_hh_income
Middleton-Hamilton,6.512709111452249,Middleton,1979,69693.0,51,x_hh_income
