school_to_school,origin,distance_mi,median_household_income_x,median_household_income_y
Swampscott-Lynn,0,1.196055302079143,113407,56181
Lawrence-North Andover,0,1.5855866438822594,44613,108070
Salem-Swampscott,0,1.9363245470077504,68808,113407
Marblehead-Salem,0,2.361965084725948,123333,68808
Andover-Lawrence,0,2.4075788470636974,95600,44613
Salem-Lynn,0,2.620759071282193,68808,56181
Marblehead-Swampscott,0,2.7700866048205146,123333,113407
Beverly-Danvers,0,2.820942616776508,80586,89250
Peabody-Lynnfield,0,3.0211280959779665,73217,128641
Lawrence-Methuen,0,3.190858545165007,44613,77484
Peabody-Danvers,0,3.3831848090871595,73217,89250
North Andover-Methuen,0,3.582984079375072,108070,77484
Andover-North Andover,0,3.5890416313744566,95600,108070
Danvers-Topsfield,0,3.717251074636475,89250,136863
Salisbury-Georgetown,0,3.814898481551445,81304,128466
Amesbury-Newburyport,0,3.8692811155221,82468,109839
Lynn-Marblehead,0,3.9489579065240856,56181,123333
Hamilton-Ipswich,0,4.140077970284551,127813,93212
Salem-Peabody,0,4.141631838811724,68808,73217
Lynn-Saugus,0,4.160763648971105,56181,88667
Merrimac-Georgetown,0,4.28828278923016,84609,128466
Rockport-Gloucester,0,4.3171524484408135,85208,72574
Salem-Beverly,0,4.327777882741018,68808,80586
Beverly-Hamilton,0,4.72845942483406,80586,127813
Haverhill-Groveland,0,4.762942120764938,69426,103125
Peabody-Beverly,0,4.935838087070542,73217,80586
Lynn-Peabody,0,4.94029677394803,56181,73217
Haverhill-Methuen,0,4.97318960159047,69426,77484
Newburyport-Newbury,0,5.008180269711917,109839,101875
Marblehead-Beverly,0,5.037819794778186,123333,80586
Gloucester-Manchester,0,5.06495176646527,72574,148854
Newbury-Ipswich,0,5.0819856969992605,101875,93212
Hamilton-Manchester,0,5.254430247077268,127813,148854
Peabody-Swampscott,0,5.289150594497587,73217,113407
Methuen-Andover,0,5.306090018823177,77484,95600
Danvers-Salem,0,5.330710306255406,89250,68808
Danvers-Hamilton,0,5.335146344153019,89250,127813
Saugus-Swampscott,0,5.349151489056062,88667,113407
Lynnfield-Saugus,0,5.433577113105851,128641,88667
Peabody-Middleton,0,5.5454252943224684,73217,125204
Groveland-Newbury,0,5.590551585369322,103125,101875
Amesbury-Groveland,0,5.917174839382962,82468,103125
Lynnfield-Danvers,0,5.964400140329401,128641,89250
Beverly-Manchester,0,5.971410704235797,80586,148854
Haverhill-North Andover,0,6.005102278445393,69426,108070
Beverly-Swampscott,0,6.252890130243487,80586,113407
Lynn-Lynnfield,0,6.268752525050366,56181,128641
Peabody-Saugus,0,6.286835159897371,73217,88667
Beverly-Middleton,0,6.352256480398708,80586,125204
Marblehead-Peabody,0,6.446932447408488,123333,73217
Saugus-Salem,0,6.465266029224285,88667,68808
Hamilton-Middleton,0,6.512709111452249,127813,125204
Lynnfield-Salem,0,6.587860172732203,128641,68808
Lynnfield-Boxford,0,6.601916701304433,128641,184007
Newburyport-Merrimac,0,6.769292675011802,109839,84609
Georgetown-North Andover,0,6.802750263821978,128466,108070
Lynn-Beverly,0,6.870577048901468,56181,80586
Georgetown-Boxford,0,6.878720081064147,128466,184007
Lawrence-Haverhill,0,6.909402253317068,44613,69426
Marblehead-Danvers,0,6.956299833777334,123333,89250
Lynnfield-Swampscott,0,7.077581548126293,128641,113407
Swampscott-Danvers,0,7.138617286692019,113407,89250
Georgetown-Ipswich,0,7.303851120504134,128466,93212
Lynn-Danvers,0,7.307373189110715,56181,89250
Amesbury-Newbury,0,7.5010648416583505,82468,101875
Haverhill-Georgetown,0,7.509617320152967,69426,128466
Middleton-Ipswich,0,7.724247814786984,125204,93212
North Andover-Merrimac,0,7.740175664835019,108070,84609
Beverly-Lynnfield,0,7.932323713286167,80586,128641
Newburyport-Georgetown,0,7.985919998287651,109839,128466
Saugus-Marblehead,0,8.109540994969315,88667,123333
Marblehead-Manchester,0,8.114360343705243,123333,148854
Georgetown-Lawrence,0,8.367780755084983,128466,44613
Danvers-Manchester,0,8.406932757250539,89250,148854
Ipswich-Danvers,0,8.419675912179603,93212,89250
Ipswich-Manchester,0,8.526754212020727,93212,148854
Hamilton-Peabody,0,8.6667657317385,127813,73217
Ipswich-Beverly,0,8.687484950177778,93212,80586
Hamilton-Newbury,0,8.708197936264018,127813,101875
Methuen-Groveland,0,8.742235481874381,77484,103125
Rowley-Topsfield,0,8.781965738283064,115909,136863
Hamilton-Gloucester,0,8.789220302849722,127813,72574
Ipswich-Newburyport,0,8.794455982710373,93212,109839
Middleton-Salem,0,8.816292246351624,125204,68808
Middleton-North Andover,0,8.861898890882394,125204,108070
Lynnfield-Marblehead,0,8.946003625179499,128641,123333
Georgetown-Amesbury,0,9.053987393332404,128466,82468
Salem-Hamilton,0,9.056235129047684,68808,127813
Manchester-Salem,0,9.064067512897635,148854,68808
Groveland-Lawrence,0,9.218136735579188,103125,44613
Andover-Haverhill,0,9.313462010627669,95600,69426
Manchester-Rockport,0,9.32182162171862,148854,85208
Andover-Boxford,0,9.39963004524344,95600,184007
Methuen-Georgetown,0,9.416447742331538,77484,128466
Haverhill-Amesbury,0,9.432995428782732,69426,82468
Hamilton-Marblehead,0,9.476531826064932,127813,123333
Saugus-Danvers,0,9.57372625400376,88667,89250
Hamilton-Georgetown,0,9.644274943153622,127813,128466
Middleton-Lawrence,0,9.746248479830118,125204,44613
Andover-Georgetown,0,9.747505053932809,95600,128466
Salisbury-Haverhill,0,10.109357689480698,81304,69426
Beverly-Saugus,0,10.167938912426532,80586,88667
Georgetown-Danvers,0,10.201636133036132,128466,89250
Andover-Lynnfield,0,10.264085646401904,95600,128641
Gloucester-Ipswich,0,10.286158546833445,72574,93212
Lynn-Boxford,0,10.36432465025636,56181,184007
Topsfield-Swampscott,0,10.457407210268777,136863,113407
Groveland-Ipswich,0,10.50318592490948,103125,93212
North Andover-Rowley,0,10.595961011815945,108070,115909
