school_to_school,distance_mi,town_x,town_y,1979_x,1989_x,1999_x,2009_x,2019_x,1979_y,1989_y,1999_y,2009_y,2019_y,town_ num_x,town_ num_y
Lynn-Swampscott,1.196055302079143,Lynn,Swampscott,46904.0,54573.0,53153.0,46944.0,56181,78559.0,95930.0,101129.0,98628.0,113407,163.0,291.0
Lawrence-North Andover,1.5855866438822594,Lawrence,North Andover,39108.0,42398.0,39808.0,34372.0,44613,72562.0,98798.0,103461.0,99691.0,108070,149.0,210.0
Salem-Swampscott,1.9363245470077504,Salem,Swampscott,49457.0,62394.0,62640.0,61917.0,68808,78559.0,95930.0,101129.0,98628.0,113407,258.0,291.0
Salem-Marblehead,2.361965084725948,Salem,Marblehead,49457.0,62394.0,62640.0,61917.0,68808,78288.0,101935.0,105225.0,105511.0,123333,258.0,168.0
Lawrence-Andover,2.4075788470636974,Lawrence,Andover,39108.0,42398.0,39808.0,34372.0,44613,88976.0,116723.0,124735.0,120621.0,95600,149.0,9.0
Lynn-Salem,2.620759071282193,Lynn,Salem,46904.0,54573.0,53153.0,46944.0,56181,49457.0,62394.0,62640.0,61917.0,68808,163.0,258.0
Swampscott-Marblehead,2.7700866048205146,Swampscott,Marblehead,78559.0,95930.0,101129.0,98628.0,113407,78288.0,101935.0,105225.0,105511.0,123333,291.0,168.0
Beverly-Danvers,2.820942616776508,Beverly,Danvers,61261.0,75693.0,76796.0,72449.0,80586,71502.0,83636.0,83617.0,81836.0,89250,30.0,71.0
Peabody-Lynnfield,3.0211280959779665,Peabody,Lynnfield,67532.0,76069.0,77998.0,71192.0,73217,101554.0,111927.0,114696.0,95180.0,128641,229.0,164.0
Lawrence-Methuen,3.190858545165007,Lawrence,Methuen,39108.0,42398.0,39808.0,34372.0,44613,61849.0,72058.0,70598.0,67179.0,77484,149.0,181.0
Peabody-Danvers,3.3831848090871595,Peabody,Danvers,67532.0,76069.0,77998.0,71192.0,73217,71502.0,83636.0,83617.0,81836.0,89250,229.0,71.0
Methuen-North Andover,3.582984079375072,Methuen,North Andover,61849.0,72058.0,70598.0,67179.0,77484,72562.0,98798.0,103461.0,99691.0,108070,181.0,210.0
Andover-North Andover,3.5890416313744566,Andover,North Andover,88976.0,116723.0,124735.0,120621.0,95600,72562.0,98798.0,103461.0,99691.0,108070,9.0,210.0
Danvers-Topsfield,3.717251074636475,Danvers,Topsfield,71502.0,83636.0,83617.0,81836.0,89250,97976.0,124224.0,137178.0,124982.0,136863,71.0,298.0
Salisbury-Georgetown,3.814898481551445,Salisbury,Georgetown,53766.0,68193.0,70147.0,68369.0,81304,69406.0,85742.0,108485.0,110703.0,128466,259.0,105.0
Amesbury-Newburyport,3.8692811155221,Amesbury,Newburyport,52538.0,72417.0,73840.0,81465.0,82468,55904.0,73810.0,83301.0,82912.0,109839,7.0,206.0
Lynn-Marblehead,3.9489579065240856,Lynn,Marblehead,46904.0,54573.0,53153.0,46944.0,56181,78288.0,101935.0,105225.0,105511.0,123333,163.0,168.0
Ipswich-Hamilton,4.140077970284551,Ipswich,Hamilton,67379.0,81012.0,81490.0,87819.0,93212,85278.0,93972.0,102425.0,108375.0,127813,144.0,119.0
Salem-Peabody,4.141631838811724,Salem,Peabody,49457.0,62394.0,62640.0,61917.0,68808,67532.0,76069.0,77998.0,71192.0,73217,258.0,229.0
Lynn-Saugus,4.160763648971105,Lynn,Saugus,46904.0,54573.0,53153.0,46944.0,56181,69615.0,80119.0,78669.0,77178.0,88667,163.0,262.0
Merrimac-Georgetown,4.28828278923016,Merrimac,Georgetown,59498.0,78814.0,83493.0,82061.0,84609,69406.0,85742.0,108485.0,110703.0,128466,180.0,105.0
Gloucester-Rockport,4.3171524484408135,Gloucester,Rockport,51063.0,62480.0,67888.0,65749.0,72574,53818.0,67268.0,72069.0,76745.0,85208,107.0,252.0
Salem-Beverly,4.327777882741018,Salem,Beverly,49457.0,62394.0,62640.0,61917.0,68808,61261.0,75693.0,76796.0,72449.0,80586,258.0,30.0
Beverly-Hamilton,4.72845942483406,Beverly,Hamilton,61261.0,75693.0,76796.0,72449.0,80586,85278.0,93972.0,102425.0,108375.0,127813,30.0,119.0
Haverhill-Groveland,4.762942120764938,Haverhill,Groveland,49111.0,70613.0,70891.0,67325.0,69426,73695.0,92413.0,98395.0,91531.0,103125,128.0,116.0
Peabody-Beverly,4.935838087070542,Peabody,Beverly,67532.0,76069.0,77998.0,71192.0,73217,61261.0,75693.0,76796.0,72449.0,80586,229.0,30.0
Lynn-Peabody,4.94029677394803,Lynn,Peabody,46904.0,54573.0,53153.0,46944.0,56181,67532.0,76069.0,77998.0,71192.0,73217,163.0,229.0
Haverhill-Methuen,4.97318960159047,Haverhill,Methuen,49111.0,70613.0,70891.0,67325.0,69426,61849.0,72058.0,70598.0,67179.0,77484,128.0,181.0
Newbury-Newburyport,5.008180269711917,Newbury,Newburyport,68671.0,84227.0,106459.0,98942.0,101875,55904.0,73810.0,83301.0,82912.0,109839,205.0,206.0
Beverly-Marblehead,5.037819794778186,Beverly,Marblehead,61261.0,75693.0,76796.0,72449.0,80586,78288.0,101935.0,105225.0,105511.0,123333,30.0,168.0
Gloucester-Manchester,5.06495176646527,Gloucester,,51063.0,62480.0,67888.0,65749.0,72574,,,,,148854,107.0,
Ipswich-Newbury,5.0819856969992605,Ipswich,Newbury,67379.0,81012.0,81490.0,87819.0,93212,68671.0,84227.0,106459.0,98942.0,101875,144.0,205.0
Hamilton-Manchester,5.254430247077268,Hamilton,,85278.0,93972.0,102425.0,108375.0,127813,,,,,148854,119.0,
Peabody-Swampscott,5.289150594497587,Peabody,Swampscott,67532.0,76069.0,77998.0,71192.0,73217,78559.0,95930.0,101129.0,98628.0,113407,229.0,291.0
Methuen-Andover,5.306090018823177,Methuen,Andover,61849.0,72058.0,70598.0,67179.0,77484,88976.0,116723.0,124735.0,120621.0,95600,181.0,9.0
Salem-Danvers,5.330710306255406,Salem,Danvers,49457.0,62394.0,62640.0,61917.0,68808,71502.0,83636.0,83617.0,81836.0,89250,258.0,71.0
Danvers-Hamilton,5.335146344153019,Danvers,Hamilton,71502.0,83636.0,83617.0,81836.0,89250,85278.0,93972.0,102425.0,108375.0,127813,71.0,119.0
Saugus-Swampscott,5.349151489056062,Saugus,Swampscott,69615.0,80119.0,78669.0,77178.0,88667,78559.0,95930.0,101129.0,98628.0,113407,262.0,291.0
Saugus-Lynnfield,5.433577113105851,Saugus,Lynnfield,69615.0,80119.0,78669.0,77178.0,88667,101554.0,111927.0,114696.0,95180.0,128641,262.0,164.0
Peabody-Middleton,5.5454252943224684,Peabody,Middleton,67532.0,76069.0,77998.0,71192.0,73217,69693.0,88103.0,115790.0,95330.0,125204,229.0,184.0
