school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_w_charters_x,district_name_x_x,total_num_of_classes_x,average_class_size_x,number_of_students_x,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,native_hawaiian_pacific_islander_pct_x,multi-race_non-hispanic_pct_x,tests_taken_x_x,score=1_x_x,score=2_x_x,score=3_x_x,score=4_x_x,score=5_x_x,pct_score_1-2_x_x,pct_score_3-5_x_x,tests_taken_y_x,score=1_y_x,score=2_y_x,score=3_y_x,score=4_y_x,score=5_y_x,pct_score_1-2_y_x,pct_score_3-5_y_x,tests_takers_x,tests_taken_x.1_x,one_test_x,two_tests_x,three_tests_x,four_tests_x,five_or_more_tests_x,high_school_graduates_(num)_x,attending_coll./univ._(num)_x,attending_coll./univ._(pct)_x,private_two-year_(pct)_x,private_four-year_(pct)_x,public_two-year_(pct)_x,public_four-year_(pct)_x,ma_community_college_(pct)_x,ma_state_university_(pct)_x,univ.of_mass._(pct)_x,tests_taken_y.1_x,reading_/_writing_x,writing_x,math_x,num_in_cohort_x,pct_graduated_x,pct_still_in_school_x,pct_non-grad_completers_x,pct_h.s._equiv._x,pct_dropped_out_x,pct_permanently_excluded_x,school_name_x,fact_x,population_estimates_july_1_2021_(v2021)_x,population_estimates_base_april_1_2020_(v2021)_x,population_percent_change_-_april_1_2020_(estimates_base)_to_july_1_2021_(v2021)_x,population_census_april_1_2020_x,population_census_april_1_2010_x,persons_under_5_years_percent_x,persons_under_18_years_percent_x,persons_65_years_and_over_percent_x,female_persons_percent_x,white_alone_percent_x,black_or_african_american_alone_percent_x,american_indian_and_alaska_native_alone_percent_x,asian_alone_percent_x,native_hawaiian_and_other_pacific_islander_alone_percent_x,two_or_more_races_percent_x,hispanic_or_latino_percent_x,white_alone_not_hispanic_or_latino_percent_x,veterans_2015-2019_x,foreign_born_persons_percent_2015-2019_x,housing_units__july_1_2019__(v2019)_x,owner-occupied_housing_unit_rate_2015-2019_x,median_value_of_owner-occupied_housing_units_2015-2019_x,median_selected_monthly_owner_costs_-with_a_mortgage_2015-2019_x,median_selected_monthly_owner_costs_-without_a_mortgage_2015-2019_x,median_gross_rent_2015-2019_x,building_permits_2020_x,households_2015-2019_x,persons_per_household_2015-2019_x,living_in_same_house_1_year_ago_percent_of_persons_age_1_year+_2015-2019_x,language_other_than_english_spoken_at_home_percent_of_persons_age_5_years+_2015-2019_x,households_with_a_computer_percent_2015-2019_x,households_with_a_broadband_internet_subscription_percent_2015-2019_x,high_school_graduate_or_higher_percent_of_persons_age_25_years+_2015-2019_x,bachelor's_degree_or_higher_percent_of_persons_age_25_years+_2015-2019_x,with_a_disability_under_age_65_years_percent_2015-2019_x,persons__without_health_insurance_under_age_65_years_percent_x,in_civilian_labor_force_total_percent_of_population_age_16_years+_2015-2019_x,in_civilian_labor_force_female_percent_of_population_age_16_years+_2015-2019_x,total_accommodation_and_food_services_sales_2012_($1000)_x,total_health_care_and_social_assistance_receipts/revenue_2012_($1000)_x,total_manufacturers_shipments_2012_($1000)_x,total_retail_sales_2012_($1000)_x,total_retail_sales_per_capita_2012_x,mean_travel_time_to_work_(minutes)_workers_age_16_years+_2015-2019_x,median_household_income_x,per_capita_income_in_past_12_months_(in_2019_dollars)_2015-2019_x,persons_in_poverty_percent_x,total_employer_establishments_2019_x,total_employment_2019_x,total_annual_payroll_2019_($1000)_x,total_employment_percent_change_2018-2019_x,total_nonemployer_establishments_2018_x,all_firms_2012_x,men-owned_firms_2012_x,women-owned_firms_2012_x,minority-owned_firms_2012_x,nonminority-owned_firms_2012_x,veteran-owned_firms_2012_x,nonveteran-owned_firms_2012_x,population_per_square_mile_2010_x,land_area_in_square_miles_2010_x,fips_code_x,district_code_y,district_name_w_charters_y,district_name_x_y,total_num_of_classes_y,average_class_size_y,number_of_students_y,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,native_hawaiian_pacific_islander_pct_y,multi-race_non-hispanic_pct_y,tests_taken_x_y,score=1_x_y,score=2_x_y,score=3_x_y,score=4_x_y,score=5_x_y,pct_score_1-2_x_y,pct_score_3-5_x_y,tests_taken_y_y,score=1_y_y,score=2_y_y,score=3_y_y,score=4_y_y,score=5_y_y,pct_score_1-2_y_y,pct_score_3-5_y_y,tests_takers_y,tests_taken_x.1_y,one_test_y,two_tests_y,three_tests_y,four_tests_y,five_or_more_tests_y,high_school_graduates_(num)_y,attending_coll./univ._(num)_y,attending_coll./univ._(pct)_y,private_two-year_(pct)_y,private_four-year_(pct)_y,public_two-year_(pct)_y,public_four-year_(pct)_y,ma_community_college_(pct)_y,ma_state_university_(pct)_y,univ.of_mass._(pct)_y,tests_taken_y.1_y,reading_/_writing_y,writing_y,math_y,num_in_cohort_y,pct_graduated_y,pct_still_in_school_y,pct_non-grad_completers_y,pct_h.s._equiv._y,pct_dropped_out_y,pct_permanently_excluded_y,school_name_y,fact_y,population_estimates_july_1_2021_(v2021)_y,population_estimates_base_april_1_2020_(v2021)_y,population_percent_change_-_april_1_2020_(estimates_base)_to_july_1_2021_(v2021)_y,population_census_april_1_2020_y,population_census_april_1_2010_y,persons_under_5_years_percent_y,persons_under_18_years_percent_y,persons_65_years_and_over_percent_y,female_persons_percent_y,white_alone_percent_y,black_or_african_american_alone_percent_y,american_indian_and_alaska_native_alone_percent_y,asian_alone_percent_y,native_hawaiian_and_other_pacific_islander_alone_percent_y,two_or_more_races_percent_y,hispanic_or_latino_percent_y,white_alone_not_hispanic_or_latino_percent_y,veterans_2015-2019_y,foreign_born_persons_percent_2015-2019_y,housing_units__july_1_2019__(v2019)_y,owner-occupied_housing_unit_rate_2015-2019_y,median_value_of_owner-occupied_housing_units_2015-2019_y,median_selected_monthly_owner_costs_-with_a_mortgage_2015-2019_y,median_selected_monthly_owner_costs_-without_a_mortgage_2015-2019_y,median_gross_rent_2015-2019_y,building_permits_2020_y,households_2015-2019_y,persons_per_household_2015-2019_y,living_in_same_house_1_year_ago_percent_of_persons_age_1_year+_2015-2019_y,language_other_than_english_spoken_at_home_percent_of_persons_age_5_years+_2015-2019_y,households_with_a_computer_percent_2015-2019_y,households_with_a_broadband_internet_subscription_percent_2015-2019_y,high_school_graduate_or_higher_percent_of_persons_age_25_years+_2015-2019_y,bachelor's_degree_or_higher_percent_of_persons_age_25_years+_2015-2019_y,with_a_disability_under_age_65_years_percent_2015-2019_y,persons__without_health_insurance_under_age_65_years_percent_y,in_civilian_labor_force_total_percent_of_population_age_16_years+_2015-2019_y,in_civilian_labor_force_female_percent_of_population_age_16_years+_2015-2019_y,total_accommodation_and_food_services_sales_2012_($1000)_y,total_health_care_and_social_assistance_receipts/revenue_2012_($1000)_y,total_manufacturers_shipments_2012_($1000)_y,total_retail_sales_2012_($1000)_y,total_retail_sales_per_capita_2012_y,mean_travel_time_to_work_(minutes)_workers_age_16_years+_2015-2019_y,median_household_income_y,per_capita_income_in_past_12_months_(in_2019_dollars)_2015-2019_y,persons_in_poverty_percent_y,total_employer_establishments_2019_y,total_employment_2019_y,total_annual_payroll_2019_($1000)_y,total_employment_percent_change_2018-2019_y,total_nonemployer_establishments_2018_y,all_firms_2012_y,men-owned_firms_2012_y,women-owned_firms_2012_y,minority-owned_firms_2012_y,nonminority-owned_firms_2012_y,veteran-owned_firms_2012_y,nonveteran-owned_firms_2012_y,population_per_square_mile_2010_y,land_area_in_square_miles_2010_y,fips_code_y
Swampscott-Lynn,1.924864431,1.196055302079143,Swampscott,Lynn,31,42.479062,-70.920438,14,42.476687,-70.943687,2910000.0,Swampscott,Swampscott,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,439.0,32.0,105.0,127.0,105.0,70.0,31.2,68.8,439.0,32.0,105.0,127.0,105.0,70.0,31.2,68.8,189.0,439.0,62.0,49.0,48.0,19.0,11.0,160.0,124.0,77.5,0.0,37.1,10.5,52.4,10.5,12.1,12.9,128.0,606.0,,596.0,163,95.7,3.7,0.0,0.0,0.6,0.0,Swampscott High School,"Swampscott town, Essex County, Massachusetts",,,,15111,13787,0.061,0.222,0.188,0.541,0.935,0.015,0.0,0.022,0.0,0.021,0.025,0.917,658,0.129,X,0.771,475500,2855,1080,1916,X,5780,2.57,0.886,0.169,0.907,0.887,0.974,0.573,0.049,0.004,0.691,0.657,D,33958,D,180266,12951.0,35.4,113407,56405,0.031,X,X,X,X,X,1865,998,626,208,1619,36,1791,4560.1,3.02,"""2500968645""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Salem-Lynn,4.217702902,2.620759071282193,Salem,Lynn,28,42.506312,-70.911563,14,42.476687,-70.943687,2580000.0,Salem,Salem,"2,245",13.5,"3,772",6.6,2.6,43.9,42.4,0.0,0.0,4.5,132.0,21.0,37.0,34.0,21.0,19.0,43.9,56.1,132.0,21.0,37.0,34.0,21.0,19.0,43.9,56.1,59.0,132.0,28.0,11.0,9.0,5.0,6.0,219.0,110.0,50.2,0.9,27.3,21.8,50.0,20.9,33.6,9.1,61.0,531.0,,511.0,276,73.9,11.2,3.6,0.4,10.9,0.0,Salem High School,"Salem city, Massachusetts",,,,44480,41340,0.052,0.162,0.162,0.547,0.79,0.066,0.006,0.025,0.0,0.038,0.178,0.718,1607,0.146,X,0.515,367200,2206,881,1289,X,18437,2.25,0.857,0.22,0.916,0.879,0.912,0.43,0.102,0.028,0.68,0.649,116417,764377,132957,469570,11122.0,31.3,68808,38400,0.147,X,X,X,X,X,4058,2207,1398,505,3413,686,3205,4992.9,8.28,"""2559105""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Merrimac-Lynn,34.52498454,21.4528307283514,Merrimac,Lynn,18,42.782938,-71.013188,14,42.476687,-70.943687,7450000.0,Pentucket,Pentucket,"1,226",16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,332.0,35.0,87.0,104.0,68.0,38.0,36.7,63.3,332.0,35.0,87.0,104.0,68.0,38.0,36.7,63.3,179.0,332.0,75.0,64.0,32.0,7.0,1.0,182.0,146.0,80.2,0.0,40.4,13.0,46.6,13.0,4.1,18.5,198.0,581.0,,572.0,188,94.7,1.6,0.0,0.5,3.2,0.0,Pentucket Regional High School,"Merrimac town, Essex County, Massachusetts",,,,6723,6338,0.037,0.195,0.191,0.504,0.967,0.002,0.0,0.01,0.0,0.007,0.024,0.956,482,0.033,X,0.871,362600,2304,706,1102,X,2710,2.53,0.951,0.043,0.927,0.832,0.943,0.437,0.098,0.034,0.683,0.641,3105,D,D,11386,1747.0,32.6,84609,44616,0.034,X,X,X,X,X,579,288,264,F,568,103,470,749.3,8.46,"""2500940430""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Rockport-Lynn,33.60951706,20.8839856108975,Rockport,Lynn,26,42.652187,-70.609562,14,42.476687,-70.943687,2520000.0,Rockport,Rockport,459,14.7,770,0.7,1.8,3.6,90.4,0.0,0.1,3.4,147.0,49.0,41.0,34.0,19.0,4.0,61.2,38.8,147.0,49.0,41.0,34.0,19.0,4.0,61.2,38.8,65.0,147.0,23.0,15.0,16.0,9.0,2.0,75.0,50.0,66.7,0.0,48.0,6.0,46.0,6.0,10.0,12.0,29.0,603.0,,589.0,79,94.9,2.5,1.3,0.0,1.3,0.0,Rockport High School,"Rockport town, Essex County, Massachusetts",,,,6992,6952,0.038,0.147,0.337,0.563,0.97,0.001,0.0,0.001,0.0,0.011,0.007,0.965,480,0.029,X,0.69,536400,2260,918,1360,X,3324,2.16,0.913,0.029,0.913,0.86,0.973,0.569,0.042,0.008,0.594,0.546,18432,D,D,19799,2803.0,29.1,85208,51122,0.067,X,X,X,X,X,969,391,505,49,901,53,897,994.4,6.99,"""2500957880""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Haverhill-Lynn,37.01913185,23.0026220104014,Haverhill,Lynn,11,42.787188,-71.106938,14,42.476687,-70.943687,1280000.0,Haverhill,Haverhill,"3,998",17.2,"7,848",5.2,1.8,40.9,49.7,0.2,0.1,2.1,483.0,104.0,145.0,131.0,75.0,28.0,51.6,48.4,483.0,104.0,145.0,131.0,75.0,28.0,51.6,48.4,275.0,483.0,142.0,78.0,38.0,14.0,3.0,413.0,235.0,56.9,0.0,28.5,34.9,36.6,34.0,6.0,17.0,110.0,547.0,,545.0,491,80.4,10.4,0.4,1.0,7.7,0.0,Haverhill High School,"Haverhill city, Massachusetts",,,,67787,60879,0.061,0.231,0.127,0.517,0.803,0.036,0.001,0.013,0.0,0.039,0.232,0.697,2827,0.107,X,0.571,300600,1990,748,1208,X,24256,2.58,0.891,0.219,0.929,0.831,0.908,0.298,0.1,0.037,0.722,0.692,100586,364567,719273,677689,10966.0,28.6,69426,33918,0.125,X,X,X,X,X,4361,2364,1573,709,3448,439,3643,1846.5,32.97,"""2529405""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Newburyport-Lynn,37.7114836,23.432829441197484,Newburyport,Lynn,23,42.813187,-70.886188,14,42.476687,-70.943687,2040000.0,Newburyport,Newburyport,"1,712",14.0,"2,150",0.9,1.9,4.3,90.3,0.0,0.0,2.6,379.0,61.0,83.0,104.0,90.0,41.0,38.0,62.0,379.0,61.0,83.0,104.0,90.0,41.0,38.0,62.0,193.0,379.0,78.0,64.0,35.0,12.0,4.0,178.0,145.0,81.5,0.0,43.4,12.4,44.1,11.0,4.8,13.1,182.0,581.0,,583.0,186,94.6,4.3,0.0,0.5,0.5,0.0,Newburyport High School,"Newburyport city, Massachusetts",,,,18289,17416,0.035,0.206,0.21,0.545,0.941,0.017,0.0,0.022,0.0,0.017,0.028,0.924,801,0.075,X,0.772,548400,2599,1007,1338,X,7836,2.27,0.904,0.072,0.94,0.9,0.969,0.624,0.052,0.023,0.693,0.638,66902,259692,558698,223348,12651.0,33.6,109839,64018,0.059,X,X,X,X,X,2672,1561,924,128,2395,229,2302,2086.2,8.35,"""2545245""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Newbury-Lynn,29.82811573,18.534331766607817,Newbury,Lynn,22,42.744187,-70.916438,14,42.476687,-70.943687,7730000.0,Triton,Triton,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,129.0,7.0,33.0,41.0,31.0,17.0,31.0,69.0,129.0,7.0,33.0,41.0,31.0,17.0,31.0,69.0,77.0,129.0,44.0,19.0,10.0,3.0,1.0,174.0,117.0,67.2,0.0,30.8,32.5,36.8,30.8,7.7,14.5,63.0,595.0,,585.0,190,89.5,4.2,0.5,2.1,3.7,0.0,Triton Regional High School,"Newbury town, Essex County, Massachusetts",,,,6716,6666,0.026,0.251,0.226,0.548,0.937,0.01,0.0,0.016,0.0,0.012,0.03,0.921,457,0.04,X,0.864,517100,2645,749,1077,X,2577,2.68,0.923,0.035,0.972,0.944,0.963,0.531,0.033,0.017,0.655,0.599,7144,3264,D,D,,28.6,101875,57871,0.089,X,X,X,X,X,886,488,337,F,876,91,734,285.4,23.35,"""2500945175""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Ipswich-Lynn,24.75308019,15.380850893825723,Ipswich,Lynn,12,42.688563,-70.850938,14,42.476687,-70.943687,1440000.0,Ipswich,Ipswich,"1,017",15.1,"1,604",1.3,1.3,7.1,86.3,0.1,0.0,4.0,266.0,9.0,48.0,63.0,66.0,80.0,21.4,78.6,266.0,9.0,48.0,63.0,66.0,80.0,21.4,78.6,121.0,266.0,44.0,31.0,30.0,10.0,6.0,133.0,93.0,69.9,0.0,45.2,11.8,43.0,11.8,7.5,19.4,145.0,575.0,,572.0,142,90.8,4.2,0.0,0.0,4.9,0.0,Ipswich High School,"Ipswich town, Essex County, Massachusetts",,,,13785,13175,0.038,0.206,0.224,0.519,0.944,0.022,0.0,0.009,0.0,0.011,0.042,0.92,781,0.065,X,0.717,485600,2449,886,1145,X,5761,2.4,0.935,0.078,0.906,0.856,0.976,0.541,0.049,0.017,0.662,0.625,25625,16858,282831,94946,7010.0,30.6,93212,52393,0.076,X,X,X,X,X,1655,928,572,F,1599,115,1480,410.3,32.11,"""2500932310""",1630000.0,Lynn,Lynn,"5,093",15.4,"12,825",8.2,7.5,67.9,13.0,0.3,0.0,3.1,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,781.0,370.0,229.0,115.0,48.0,19.0,76.7,23.3,428.0,781.0,237.0,86.0,60.0,35.0,10.0,1062.0,436.0,41.1,0.0,27.8,32.3,39.9,31.2,21.8,15.4,115.0,533.0,,521.0,"1,254",79.0,6.1,0.6,0.6,13.7,0.0,Lynn Classical High School + Lynn English High School,"Lynn city, Massachusetts",,,,101253,90329,0.073,0.245,0.117,0.496,0.486,0.137,0.004,0.073,0.001,0.066,0.428,0.359,2747,0.367,X,0.449,323100,2109,773,1189,X,32599,2.85,0.874,0.536,0.871,0.799,0.762,0.185,0.098,0.055,0.682,0.63,D,388045,D,668238,7323.0,32.7,56181,26291,0.166,X,X,X,X,X,5352,2887,2135,2037,3134,374,4731,8409.5,10.74,"""2537490"""
Swampscott-Danvers,11.48849094,7.138617286692019,Swampscott,Danvers,21,42.479062,-70.920438,5,42.582062,-70.931438,2910000.0,Swampscott,Swampscott,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,439.0,32.0,105.0,127.0,105.0,70.0,31.2,68.8,439.0,32.0,105.0,127.0,105.0,70.0,31.2,68.8,189.0,439.0,62.0,49.0,48.0,19.0,11.0,160.0,124.0,77.5,0.0,37.1,10.5,52.4,10.5,12.1,12.9,128.0,606.0,,596.0,163,95.7,3.7,0.0,0.0,0.6,0.0,Swampscott High School,"Swampscott town, Essex County, Massachusetts",,,,15111,13787,0.061,0.222,0.188,0.541,0.935,0.015,0.0,0.022,0.0,0.021,0.025,0.917,658,0.129,X,0.771,475500,2855,1080,1916,X,5780,2.57,0.886,0.169,0.907,0.887,0.974,0.573,0.049,0.004,0.691,0.657,D,33958,D,180266,12951.0,35.4,113407,56405,0.031,X,X,X,X,X,1865,998,626,208,1619,36,1791,4560.1,3.02,"""2500968645""",710000.0,Danvers,Danvers,"2,116",16.8,"3,327",2.3,2.4,9.1,83.6,0.1,0.0,2.6,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,186.0,361.0,84.0,61.0,22.0,10.0,9.0,230.0,163.0,70.9,0.0,39.3,14.7,46.0,14.7,13.5,11.0,145.0,549.0,,530.0,237,95.8,3.0,0.0,0.4,0.8,0.0,Danvers High School,"Danvers town, Essex County, Massachusetts",,,,28087,26493,0.049,0.19,0.209,0.543,0.917,0.024,0.001,0.026,0.0,0.023,0.051,0.876,1414,0.105,X,0.713,427400,2421,864,1398,X,10689,2.51,0.894,0.119,0.909,0.873,0.937,0.432,0.075,0.02,0.676,0.631,132584,423406,912359,1792878,66354.0,28.3,89250,44005,0.071,X,X,X,X,X,3027,1824,874,128,2701,415,2387,1995.6,13.28,"""2500916250"""
Marblehead-Danvers,11.19507944,6.956299833777334,Marblehead,Danvers,17,42.492438,-70.869187,5,42.582062,-70.931438,1680000.0,Marblehead,Marblehead,"1,603",16.2,"2,723",3.0,1.4,6.9,85.2,0.0,0.0,3.4,701.0,61.0,183.0,199.0,162.0,96.0,34.8,65.2,701.0,61.0,183.0,199.0,162.0,96.0,34.8,65.2,329.0,701.0,138.0,90.0,45.0,36.0,20.0,253.0,200.0,79.1,0.0,45.5,2.5,52.0,2.0,7.0,10.0,289.0,608.0,,599.0,263,95.1,3.4,0.4,0.4,0.8,0.0,Marblehead High School,"Marblehead town, Essex County, Massachusetts",,,,20441,19808,0.037,0.232,0.218,0.529,0.956,0.016,0.0,0.014,0.0,0.009,0.05,0.911,910,0.105,X,0.778,675400,2865,1077,1578,X,8122,2.51,0.907,0.131,0.972,0.953,0.986,0.713,0.031,0.023,0.663,0.613,19329,40689,16750,100119,4987.0,38.5,123333,69148,0.044,X,X,X,X,X,3138,1879,949,80,2923,269,2727,4515.5,4.39,"""2500938400""",710000.0,Danvers,Danvers,"2,116",16.8,"3,327",2.3,2.4,9.1,83.6,0.1,0.0,2.6,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,361.0,70.0,90.0,101.0,69.0,31.0,44.3,55.7,186.0,361.0,84.0,61.0,22.0,10.0,9.0,230.0,163.0,70.9,0.0,39.3,14.7,46.0,14.7,13.5,11.0,145.0,549.0,,530.0,237,95.8,3.0,0.0,0.4,0.8,0.0,Danvers High School,"Danvers town, Essex County, Massachusetts",,,,28087,26493,0.049,0.19,0.209,0.543,0.917,0.024,0.001,0.026,0.0,0.023,0.051,0.876,1414,0.105,X,0.713,427400,2421,864,1398,X,10689,2.51,0.894,0.119,0.909,0.873,0.937,0.432,0.075,0.02,0.676,0.631,132584,423406,912359,1792878,66354.0,28.3,89250,44005,0.071,X,X,X,X,X,3027,1824,874,128,2701,415,2387,1995.6,13.28,"""2500916250"""
