school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Swampscott-Lynn,1.924864431,1.196055302079143,Swampscott,Lynn,31,42.479062,-70.920438,14,42.476687,-70.943687,2910000.0,Swampscott,1630000.0,Lynn,16.8,15.4,3.7,2.7,12.1,78.1,0.2,0.0,3.1,8.2,7.5,67.9,13.0,0.3,0.0,3.1,68.8,23.3,77.5,41.1,37.1,27.8,95.7,79.0,0.6,13.7,Swampscott High School,Lynn Classical High School + Lynn English High School,15111,101253,0.025,0.428,0.917,0.359,0.129,0.367,113407,56181,56405,26291,4560.1,8409.5
Lawrence-North Andover,2.551754361,1.5855866438822594,Lawrence,North Andover,13,42.691187,-71.145062,24,42.700563,-71.116563,1490000.0,Lawrence,2110000.0,North Andover,17.9,18.0,1.3,1.2,93.8,3.2,0.0,0.0,0.4,2.9,7.6,13.5,72.5,0.1,0.1,3.3,23.8,80.0,45.7,83.0,19.6,48.4,72.8,97.3,8.8,0.3,Lawrence High School,North Andover High School,89143,30915,0.806,0.076,0.148,0.811,0.406,0.119,44613,108070,20858,54939,11028.0,1077.8
Salem-Swampscott,3.116212303,1.9363245470077504,Salem,Swampscott,28,42.506312,-70.911563,21,42.479062,-70.920438,2580000.0,Salem,2910000.0,Swampscott,13.5,16.8,6.6,2.6,43.9,42.4,0.0,0.0,4.5,3.7,2.7,12.1,78.1,0.2,0.0,3.1,56.1,68.8,50.2,77.5,27.3,37.1,73.9,95.7,10.9,0.6,Salem High School,Swampscott High School,44480,15111,0.178,0.025,0.718,0.917,0.146,0.129,68808,113407,38400,56405,4992.9,4560.1
Marblehead-Salem,3.801214351,2.361965084725948,Marblehead,Salem,17,42.492438,-70.869187,28,42.506312,-70.911563,1680000.0,Marblehead,2580000.0,Salem,16.2,13.5,3.0,1.4,6.9,85.2,0.0,0.0,3.4,6.6,2.6,43.9,42.4,0.0,0.0,4.5,65.2,56.1,79.1,50.2,45.5,27.3,95.1,73.9,0.8,10.9,Marblehead High School,Salem High School,20441,44480,0.05,0.178,0.911,0.718,0.105,0.146,123333,68808,69148,38400,4515.5,4992.9
Andover-Lawrence,3.874622586,2.4075788470636974,Andover,Lawrence,2,42.657187,-71.155438,13,42.691187,-71.145062,90000.0,Andover,1490000.0,Lawrence,12.3,17.9,2.7,19.0,7.9,66.5,0.1,0.1,3.7,1.3,1.2,93.8,3.2,0.0,0.0,0.4,74.4,23.8,81.1,45.7,52.4,19.6,95.2,72.8,0.9,8.8,Andover High School,Lawrence High School,9735,89143,0.025,0.806,0.847,0.148,0.135,0.406,95600,44613,55457,20858,2376.6,11028.0
Salem-Lynn,4.217702902,2.620759071282193,Salem,Lynn,28,42.506312,-70.911563,14,42.476687,-70.943687,2580000.0,Salem,1630000.0,Lynn,13.5,15.4,6.6,2.6,43.9,42.4,0.0,0.0,4.5,8.2,7.5,67.9,13.0,0.3,0.0,3.1,56.1,23.3,50.2,41.1,27.3,27.8,73.9,79.0,10.9,13.7,Salem High School,Lynn Classical High School + Lynn English High School,44480,101253,0.178,0.428,0.718,0.359,0.146,0.367,68808,56181,38400,26291,4992.9,8409.5
Marblehead-Swampscott,4.458022273,2.7700866048205146,Marblehead,Swampscott,17,42.492438,-70.869187,31,42.479062,-70.920438,1680000.0,Marblehead,2910000.0,Swampscott,16.2,16.8,3.0,1.4,6.9,85.2,0.0,0.0,3.4,3.7,2.7,12.1,78.1,0.2,0.0,3.1,65.2,68.8,79.1,77.5,45.5,37.1,95.1,95.7,0.8,0.6,Marblehead High School,Swampscott High School,20441,15111,0.05,0.025,0.911,0.917,0.105,0.129,123333,113407,69148,56405,4515.5,4560.1
Beverly-Danvers,4.539867091,2.820942616776508,Beverly,Danvers,3,42.564813,-70.881187,5,42.582062,-70.931438,300000.0,Beverly,710000.0,Danvers,16.4,16.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,56.5,55.7,75.1,70.9,36.9,39.3,91.0,95.8,4.8,0.8,Beverly High School,Danvers High School,42670,28087,0.051,0.051,0.885,0.876,0.08,0.105,80586,89250,45803,44005,2617.2,1995.6
Peabody-Lynnfield,4.862034392,3.0211280959779665,Peabody,Lynnfield,25,42.544562,-70.974187,15,42.539063,-71.033062,2290000.0,Peabody,1640000.0,Lynnfield,16.4,17.6,3.8,2.1,19.4,72.5,0.2,0.0,2.0,1.9,6.9,5.8,82.2,0.0,0.0,3.2,56.5,67.0,60.9,85.4,37.7,44.0,88.0,97.5,5.9,1.3,Peabody Veterans Memorial High School,Lynnfield High School,54481,13000,0.099,0.024,0.827,0.907,0.154,0.078,73217,128641,40095,63191,3161.4,1173.4
Lawrence-Methuen,5.135189073,3.190858545165007,Lawrence,Methuen,13,42.691187,-71.145062,19,42.733063,-71.171563,1490000.0,Lawrence,1810000.0,Methuen,17.9,18.3,1.3,1.2,93.8,3.2,0.0,0.0,0.4,3.8,3.7,46.0,42.6,0.1,0.1,3.9,23.8,46.2,45.7,60.0,19.6,29.0,72.8,93.2,8.8,2.7,Lawrence High School,Methuen High School,89143,53059,0.806,0.295,0.148,0.609,0.406,0.223,44613,77484,20858,35387,11028.0,2124.0
Peabody-Danvers,5.444708193,3.3831848090871595,Peabody,Danvers,25,42.544562,-70.974187,5,42.582062,-70.931438,2290000.0,Peabody,710000.0,Danvers,16.4,16.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,56.5,55.7,60.9,70.9,37.7,39.3,88.0,95.8,5.9,0.8,Peabody Veterans Memorial High School,Danvers High School,54481,28087,0.099,0.051,0.827,0.876,0.154,0.105,73217,89250,40095,44005,3161.4,1995.6
