district_code,district_name_w_charters,district_name_x,total_#_of_classes,average_class_size,number_of_students,african_american_%,asian_%,hispanic_%,white_%,native_american_%,"native_hawaiian,_pacific_islander_%","multi-race,_non-hispanic_%",tests_taken_x,score=1_x,score=2_x,score=3_x,score=4_x,score=5_x,%_score_1-2_x,%_score_3-5_x,tests_taken_y,score=1_y,score=2_y,score=3_y,score=4_y,score=5_y,%_score_1-2_y,%_score_3-5_y,tests_takers,tests_taken_x,one_test,two_tests,three_tests,four_tests,five_or_more_tests,high_school_graduates_(#),attending_coll./univ._(#),attending_coll./univ._(%),private_two-year_(%),private_four-year_(%),public_two-year_(%),public_four-year_(%),ma_community_college_(%),ma_state_university_(%),univ.of_mass._(%),tests_taken_y,reading_/_writing,writing,math,#_in_cohort,%_graduated,%_still_in_school,%_non-grad_completers,%_h.s._equiv.,%_dropped_out,%_permanently_excluded
4450000,Abby Kelley Foster Charter Public (District),,713,18.9,"1,425",54.3,3.4,19.7,16.8,0.6,0.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,83,57,68.7,0,29.8,22.8,47.4,22.8,15.8,29.8,12,593,,528,87,95.4,1.1,0,0,3.4,0
10000,Abington,Abington,"1,017",19.8,"2,178",5,2.3,11.5,78.7,0.5,0.1,2,100,16,31,37,15,1,47,53,100,16,31,37,15,1,47,53,69,100,43,22,3,1,0,115,91,79.1,0,29.7,17.6,51.6,17.6,16.5,17.6,64,565,,534,118,94.1,3.4,0,0,2.5,0
4120000,Academy Of the Pacific Rim Charter Public (District),Academy Of the Pacific Rim Charter Public (District),201,19.7,538,62.6,0.7,28.4,6.7,0,0.2,1.3,109,81,20,4,3,1,92.7,7.3,109,81,20,4,3,1,92.7,7.3,74,109,46,21,7,0,0,44,24,54.5,0,25,33.3,41.7,33.3,25,16.7,,,,,45,93.3,4.4,0,2.2,0,0
6000000,Acton-Boxborough,Acton-Boxborough,"2,368",17.1,"5,246",3.2,33.6,6.5,51.6,0.1,0.1,5,"1,070",12,55,158,344,501,6.3,93.7,"1,070",12,55,158,344,501,6.3,93.7,451,"1,070",137,136,94,49,35,451,375,83.1,0,46.1,5.1,48.8,5.1,2.4,18.4,487,651,,682,457,97.2,2,0.2,0,0.7,0
30000,Acushnet,,400,15.2,913,1.2,1,4.2,89.8,0.2,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300000,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter (District),490,18.6,960,1.9,17.2,7.2,67.6,0,0,6.2,504,29,74,142,127,132,20.4,79.6,504,29,74,142,127,132,20.4,79.6,247,504,99,62,63,23,0,134,116,86.6,0,44,5.2,50.9,5.2,3.4,26.7,164,629,,657,134,100,0,0,0,0,0
50000,Agawam,Agawam,"2,666",13.7,"3,476",2.2,3.4,10.9,80.3,0,0,3.1,209,27,65,55,39,23,44,56,209,27,65,55,39,23,44,56,129,209,72,42,9,5,1,265,173,65.3,0,50.9,30.1,19.1,28.3,8.7,5.2,64,578,,564,276,93.5,0.7,1.4,0,4.3,0
4090000,Alma del Mar Charter School (District),,236,24.1,791,13.8,0.1,60.7,20.9,0.6,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000,Amesbury,Amesbury,"1,115",15.1,"1,869",1.9,1.2,9.7,82.6,0.2,0.1,4.3,126,18,34,46,19,9,41.3,58.7,126,18,34,46,19,9,41.3,58.7,84,126,43,40,1,0,0,151,102,67.5,0,33.3,24.5,42.2,22.5,3.9,13.7,45,596,,570,165,87.9,9.1,0,0,3,0
80000,Amherst,,392,15.2,"1,014",10.1,10.9,22.7,48.4,0.4,0.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6050000,Amherst-Pelham,Amherst-Pelham,995,12.8,"1,280",8.1,9.1,18.7,54.6,0,0,9.5,178,5,22,37,65,49,15.2,84.8,178,5,22,37,65,49,15.2,84.8,116,178,64,43,8,1,0,225,151,67.1,0.7,43.7,20.5,35.1,19.9,5.3,22.5,41,656,,669,238,90.3,4.2,0,0,5.5,0
