towns_essex_county_ma,district_name,school_name,address,plus_code,gps_coordinates,gps_lat,gps_lng
Amesbury,Amesbury,Amesbury High School,"5 Highland St, Amesbury, MA 01913","V325+C2 Amesbury, Massachusetts","42.851062,-70.942437",42.851062,-70.942437
Andover,Andover,Andover High School,"80 Shawsheen Rd, Andover, MA 01810","MR4V+VR Andover, Massachusetts","42.657187,-71.155438",42.657187,-71.155438
Beverly,Beverly,Beverly High School,"100 Sohier Rd, Beverly, MA 01915","H479+WG Beverly, Massachusetts","42.564813,-70.881187",42.564813,-70.881187
Boxford,Masconomet,Masconomet Regional High School,"20 Endicott Rd, Boxford, MA 01921","J2FF+WM Boxford, Massachusetts","42.624813,-70.975813",42.624813,-70.975813
Danvers,Danvers,Danvers High School,"60 Cabot Rd, Danvers, MA 01923","H3J9+RC Danvers, Massachusetts","42.582062,-70.931438",42.582062,-70.931438
Essex,Manchester Essex Regional,Manchester Essex Regional High School,"36 Lincoln St, Manchester-by-the-Sea, MA 01944","H6JM+RG Manchester-by-the-Sea, Massachusetts","42.582062,-70.766188",42.582062,-70.766188
Georgetown,Georgetown,Georgetown High School,"11 Winter St, Georgetown, MA 01833","P2F7+JC Georgetown, Massachusetts","42.724063,-70.986438",42.724063,-70.986438
Gloucester,Gloucester,Gloucester High School,"32 Leslie O Johnson Rd, Gloucester, MA 01930","J87F+9G Gloucester, Massachusetts","42.613438,-70.676187",42.613438,-70.676187
Groveland,Pentucket,Pentucket Regional High School,"24 Main St, West Newbury, MA 01985","QXMP+5P West Newbury, Massachusetts","42.782938,-71.013188",42.782938,-71.013188
Hamilton,Hamilton-Wenham,Hamilton-Wenham Regional High School,"775 Bay Rd, South Hamilton, MA 01982","J5H2+FV South Hamilton, Hamilton, MA","42.628687,-70.847813",42.628687,-70.847813
Haverhill,Haverhill,Haverhill High School,Haverhill High School,"QVPV+V6 Haverhill, Massachusetts","42.787188,-71.106938",42.787188,-71.106938
Ipswich,Ipswich,Ipswich High School,"134 High St, Ipswich, MA 01938","M4QX+CJ Ipswich, Massachusetts","42.688563,-70.850938",42.688563,-70.850938
Lawrence,Lawrence,Lawrence High School,"70-71 N Parish Rd, Lawrence, MA 01843","MVR3+FX Lawrence, Massachusetts","42.691187,-71.145062",42.691187,-71.145062
Lynn,Lynn,Lynn English High School,"50 Goodridge St, Lynn, MA 01902","F3G4+MG Lynn, Massachusetts","42.476687,-70.943687",42.476687,-70.943687
Lynnfield,Lynnfield,Lynnfield High School,"275 Essex St, Lynnfield, MA 01940","GXQ8+JQ Lynnfield, Massachusetts","42.539063,-71.033062",42.539063,-71.033062
Manchester-by-the-sea,Manchester Essex Regional,Manchester Essex Regional High School,"36 Lincoln St, Manchester-by-the-Sea, MA 01944","H6JM+RG Manchester-by-the-Sea, Massachusetts","42.582062,-70.766188",42.582062,-70.766188
Marblehead,Marblehead,Marblehead High School,"2 Humphrey St #1920, Marblehead, MA 01945","F4RJ+X8 Marblehead, Massachusetts","42.492438,-70.869187",42.492438,-70.869187
Merrimac,Pentucket,Pentucket Regional High School,"24 Main St, West Newbury, MA 01985","QXMP+5P West Newbury, Massachusetts","42.782938,-71.013188",42.782938,-71.013188
Methuen,Methuen,Methuen High School,"1 Ranger Rd, Methuen, MA 01844","PRMH+69 Methuen, Massachusetts","42.733063,-71.171563",42.733063,-71.171563
Middleton,Masconomet,Masconomet Regional High School,"20 Endicott Rd, Boxford, MA 01921","J2FF+WM Boxford, Massachusetts","42.624813,-70.975813",42.624813,-70.975813
Nahant,Swampscott,Swampscott High School,"200 Essex St, Swampscott, MA 01907","F3HH+JR Swampscott, Massachusetts","42.479062,-70.920438",42.479062,-70.920438
Newbury,Triton,Triton Regional High School,"112 Elm St, Byfield, MA 01922","P3VM+MC Byfield, Newbury, MA","42.744187,-70.916438",42.744187,-70.916438
Newburyport,Newburyport,Newburyport High School,"241 High St, Newburyport, MA 01950","R477+7G Newburyport, Massachusetts","42.813187,-70.886188",42.813187,-70.886188
North Andover,North Andover,North Andover High School,"430 Osgood St, North Andover, MA 01845","PV2M+69 North Andover, Massachusetts","42.700563,-71.116563",42.700563,-71.116563
Peabody,Peabody,Peabody Veterans Memorial High School,"485 Lowell St, Peabody, MA 01960","G2VG+R8 Peabody, Massachusetts","42.544562,-70.974187",42.544562,-70.974187
Rockport,Rockport,Rockport High School,"24 Jerdens Ln, Rockport, MA 01966","M92R+V5 Rockport, Massachusetts","42.652187,-70.609562",42.652187,-70.609562
Rowley,Triton,Triton Regional High School,"112 Elm St, Byfield, MA 01922","P3VM+MC Byfield, Newbury, MA","42.744187,-70.916438",42.744187,-70.916438
Salem,Salem,Salem High School,"77 Willson St, Salem, MA 01970","G34Q+G9 Salem, Massachusetts","42.506312,-70.911563",42.506312,-70.911563
Salisbury,Triton,Triton Regional High School,"112 Elm St, Byfield, MA 01922","P3VM+MC Byfield, Newbury, MA","42.744187,-70.916438",42.744187,-70.916438
Saugus,Saugus,Saugus High School,"1 Pearce Memorial Dr, Saugus, MA 01906","FX6H+82 Saugus, Massachusetts","42.460813,-71.022437",42.460813,-71.022437
Swampscott,Swampscott,Swampscott High School,"200 Essex St, Swampscott, MA 01907","F3HH+JR Swampscott, Massachusetts","42.479062,-70.920438",42.479062,-70.920438
Topsfield,Masconomet,Masconomet Regional High School,"20 Endicott Rd, Boxford, MA 01921","J2FF+WM Boxford, Massachusetts","42.624813,-70.975813",42.624813,-70.975813
Wenham,Hamilton-Wenham,Hamilton-Wenham Regional High School,"775 Bay Rd, South Hamilton, MA 01982","J5H2+FV South Hamilton, Hamilton, MA","42.628687,-70.847813",42.628687,-70.847813
West Newbury,Pentucket,Pentucket Regional High School,"24 Main St, West Newbury, MA 01985","QXMP+5P West Newbury, Massachusetts","42.782938,-71.013188",42.782938,-71.013188
