loc1,lat1,lon1,loc2,lat2,lon2,distance
1,42.851062,-70.942437,2,42.657187,-71.155438,27.69818497
1,42.851062,-70.942437,3,42.564813,-70.881187,32.22047822
1,42.851062,-70.942437,4,42.624813,-70.975813,25.30497511
1,42.851062,-70.942437,5,42.582062,-70.931438,29.92492957
1,42.851062,-70.942437,6,42.582062,-70.766188,33.19674706
1,42.851062,-70.942437,7,42.724063,-70.986438,14.57098034
1,42.851062,-70.942437,9,42.782938,-71.013188,9.522769859
1,42.851062,-70.942437,10,42.628687,-70.847813,25.90634098
1,42.851062,-70.942437,11,42.787188,-71.106938,15.18093465
1,42.851062,-70.942437,12,42.688563,-70.850938,19.55181647
1,42.851062,-70.942437,13,42.691187,-71.145062,24.28125278
1,42.851062,-70.942437,14,42.476687,-70.943687,41.62872613
1,42.851062,-70.942437,15,42.539063,-71.033062,35.47446151
1,42.851062,-70.942437,16,42.582062,-70.766188,33.19674706
1,42.851062,-70.942437,17,42.492438,-70.869187,40.32433291
1,42.851062,-70.942437,18,42.782938,-71.013188,9.522769859
1,42.851062,-70.942437,19,42.733063,-71.171563,22.84078854
1,42.851062,-70.942437,20,42.624813,-70.975813,25.30497511
1,42.851062,-70.942437,21,42.479062,-70.920438,41.40360306
1,42.851062,-70.942437,22,42.744187,-70.916438,12.07179374
1,42.851062,-70.942437,23,42.813187,-70.886188,6.22700437
1,42.851062,-70.942437,24,42.700563,-71.116563,21.95520056
1,42.851062,-70.942437,25,42.544562,-70.974187,34.17986949
1,42.851062,-70.942437,26,42.652187,-70.609562,35.03921085
1,42.851062,-70.942437,27,42.744187,-70.916438,12.07179374
1,42.851062,-70.942437,28,42.506312,-70.911563,38.41744249
1,42.851062,-70.942437,29,42.744187,-70.916438,12.07179374
1,42.851062,-70.942437,30,42.460813,-71.022437,43.88408563
1,42.851062,-70.942437,31,42.479062,-70.920438,41.40360306
1,42.851062,-70.942437,32,42.624813,-70.975813,25.30497511
1,42.851062,-70.942437,33,42.628687,-70.847813,25.90634098
1,42.851062,-70.942437,34,42.782938,-71.013188,9.522769859
2,42.657187,-71.155438,3,42.564813,-70.881187,24.68230867
2,42.657187,-71.155438,4,42.624813,-70.975813,15.12723827
2,42.657187,-71.155438,5,42.582062,-70.931438,20.14253039
2,42.657187,-71.155438,6,42.582062,-70.766188,32.92738687
2,42.657187,-71.155438,7,42.724063,-70.986438,15.68708883
2,42.657187,-71.155438,8,42.613438,-70.676187,39.50518681
2,42.657187,-71.155438,10,42.628687,-70.847813,25.3605952
2,42.657187,-71.155438,11,42.787188,-71.106938,14.98856426
2,42.657187,-71.155438,12,42.688563,-70.850938,25.13750742
2,42.657187,-71.155438,13,42.691187,-71.145062,3.874622586
2,42.657187,-71.155438,14,42.476687,-70.943687,26.52440378
2,42.657187,-71.155438,15,42.539063,-71.033062,16.51844471
2,42.657187,-71.155438,16,42.582062,-70.766188,32.92738687
2,42.657187,-71.155438,17,42.492438,-70.869187,29.7487598
2,42.657187,-71.155438,18,42.782938,-71.013188,18.1813666
2,42.657187,-71.155438,19,42.733063,-71.171563,8.539324166
2,42.657187,-71.155438,20,42.624813,-70.975813,15.12723827
2,42.657187,-71.155438,21,42.479062,-70.920438,27.6162355
2,42.657187,-71.155438,22,42.744187,-70.916438,21.79514084
2,42.657187,-71.155438,23,42.813187,-70.886188,28.00839182
2,42.657187,-71.155438,24,42.700563,-71.116563,5.776002636
2,42.657187,-71.155438,25,42.544562,-70.974187,19.41436528
2,42.657187,-71.155438,26,42.652187,-70.609562,44.64424277
2,42.657187,-71.155438,27,42.744187,-70.916438,21.79514084
2,42.657187,-71.155438,28,42.506312,-70.911563,26.07940254
2,42.657187,-71.155438,29,42.744187,-70.916438,21.79514084
2,42.657187,-71.155438,30,42.460813,-71.022437,24.40217155
2,42.657187,-71.155438,31,42.479062,-70.920438,27.6162355
2,42.657187,-71.155438,32,42.624813,-70.975813,15.12723827
2,42.657187,-71.155438,33,42.628687,-70.847813,25.3605952
2,42.657187,-71.155438,34,42.782938,-71.013188,18.1813666
2,42.657187,-71.155438,1,42.851062,-70.942437,27.69818497
3,42.564813,-70.881187,4,42.624813,-70.975813,10.22296589
3,42.564813,-70.881187,5,42.582062,-70.931438,4.539867091
3,42.564813,-70.881187,6,42.582062,-70.766188,9.610054023
3,42.564813,-70.881187,7,42.724063,-70.986438,19.68946448
3,42.564813,-70.881187,8,42.613438,-70.676187,17.63170916
3,42.564813,-70.881187,9,42.782938,-71.013188,26.5467793
3,42.564813,-70.881187,11,42.787188,-71.106938,30.85476801
3,42.564813,-70.881187,12,42.688563,-70.850938,13.98115183
3,42.564813,-70.881187,13,42.691187,-71.145062,25.75900643
3,42.564813,-70.881187,14,42.476687,-70.943687,11.05712199
3,42.564813,-70.881187,15,42.539063,-71.033062,12.76583762
3,42.564813,-70.881187,16,42.582062,-70.766188,9.610054023
3,42.564813,-70.881187,17,42.492438,-70.869187,8.107585089
3,42.564813,-70.881187,18,42.782938,-71.013188,26.5467793
3,42.564813,-70.881187,19,42.733063,-71.171563,30.23255392
3,42.564813,-70.881187,20,42.624813,-70.975813,10.22296589
3,42.564813,-70.881187,21,42.479062,-70.920438,10.06305125
3,42.564813,-70.881187,22,42.744187,-70.916438,20.15272963
3,42.564813,-70.881187,23,42.813187,-70.886188,27.62095328
3,42.564813,-70.881187,24,42.700563,-71.116563,24.46677036
3,42.564813,-70.881187,25,42.544562,-70.974187,7.943461439
3,42.564813,-70.881187,26,42.652187,-70.609562,24.25991952
3,42.564813,-70.881187,27,42.744187,-70.916438,20.15272963
3,42.564813,-70.881187,28,42.506312,-70.911563,6.964883394
3,42.564813,-70.881187,29,42.744187,-70.916438,20.15272963
3,42.564813,-70.881187,30,42.460813,-71.022437,16.36371154
3,42.564813,-70.881187,31,42.479062,-70.920438,10.06305125
3,42.564813,-70.881187,32,42.624813,-70.975813,10.22296589
3,42.564813,-70.881187,33,42.628687,-70.847813,7.609717832
3,42.564813,-70.881187,34,42.782938,-71.013188,26.5467793
3,42.564813,-70.881187,1,42.851062,-70.942437,32.22047822
3,42.564813,-70.881187,2,42.657187,-71.155438,24.68230867
4,42.624813,-70.975813,5,42.582062,-70.931438,5.982335735
4,42.624813,-70.975813,6,42.582062,-70.766188,17.80328973
4,42.624813,-70.975813,7,42.724063,-70.986438,11.07022693
4,42.624813,-70.975813,8,42.613438,-70.676187,24.54952973
4,42.624813,-70.975813,9,42.782938,-71.013188,17.8459646
4,42.624813,-70.975813,10,42.628687,-70.847813,10.48118937
4,42.624813,-70.975813,12,42.688563,-70.850938,12.43097192
4,42.624813,-70.975813,13,42.691187,-71.145062,15.68506657
4,42.624813,-70.975813,14,42.476687,-70.943687,16.67976375
4,42.624813,-70.975813,15,42.539063,-71.033062,10.62475507
4,42.624813,-70.975813,16,42.582062,-70.766188,17.80328973
4,42.624813,-70.975813,17,42.492438,-70.869187,17.11518354
4,42.624813,-70.975813,18,42.782938,-71.013188,17.8459646
4,42.624813,-70.975813,19,42.733063,-71.171563,20.02362113
4,42.624813,-70.975813,20,42.624813,-70.975813,0
4,42.624813,-70.975813,21,42.479062,-70.920438,16.82956561
4,42.624813,-70.975813,22,42.744187,-70.916438,14.13320392
4,42.624813,-70.975813,23,42.813187,-70.886188,22.18903586
4,42.624813,-70.975813,24,42.700563,-71.116563,14.26184386
