school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Middleton-Boxford,0.0,0.0,Middleton,Boxford,20,42.624813,-70.975813,4,42.624813,-70.975813
Manchester-Manchester,0.0,0.0,Manchester,Manchester,6,42.582062,-70.766188,16,42.582062,-70.766188
Middleton-Topsfield,0.0,0.0,Middleton,Topsfield,20,42.624813,-70.975813,32,42.624813,-70.975813
Hamilton-Hamilton,0.0,0.0,Hamilton,Hamilton,33,42.628687,-70.847813,10,42.628687,-70.847813
Manchester-Manchester,0.0,0.0,Manchester,Manchester,16,42.582062,-70.766188,6,42.582062,-70.766188
Boxford-Topsfield,0.0,0.0,Boxford,Topsfield,4,42.624813,-70.975813,32,42.624813,-70.975813
Groveland-Merrimac,0.0,0.0,Groveland,Merrimac,9,42.782938,-71.013188,18,42.782938,-71.013188
Swampscott-Swampscott,0.0,0.0,Swampscott,Swampscott,21,42.479062,-70.920438,31,42.479062,-70.920438
Groveland-Groveland,0.0,0.0,Groveland,Groveland,9,42.782938,-71.013188,34,42.782938,-71.013188
Salisbury-Newbury,0.0,0.0,Salisbury,Newbury,29,42.744187,-70.916438,22,42.744187,-70.916438
Merrimac-Groveland,0.0,0.0,Merrimac,Groveland,18,42.782938,-71.013188,34,42.782938,-71.013188
Rowley-Newbury,0.0,0.0,Rowley,Newbury,27,42.744187,-70.916438,22,42.744187,-70.916438
Groveland-Merrimac,0.0,0.0,Groveland,Merrimac,34,42.782938,-71.013188,18,42.782938,-71.013188
Hamilton-Hamilton,0.0,0.0,Hamilton,Hamilton,10,42.628687,-70.847813,33,42.628687,-70.847813
Newbury-Rowley,0.0,0.0,Newbury,Rowley,22,42.744187,-70.916438,27,42.744187,-70.916438
Groveland-Groveland,0.0,0.0,Groveland,Groveland,34,42.782938,-71.013188,9,42.782938,-71.013188
Salisbury-Rowley,0.0,0.0,Salisbury,Rowley,29,42.744187,-70.916438,27,42.744187,-70.916438
Boxford-Middleton,0.0,0.0,Boxford,Middleton,4,42.624813,-70.975813,20,42.624813,-70.975813
Rowley-Salisbury,0.0,0.0,Rowley,Salisbury,27,42.744187,-70.916438,29,42.744187,-70.916438
Topsfield-Middleton,0.0,0.0,Topsfield,Middleton,32,42.624813,-70.975813,20,42.624813,-70.975813
Topsfield-Boxford,0.0,0.0,Topsfield,Boxford,32,42.624813,-70.975813,4,42.624813,-70.975813
Swampscott-Swampscott,0.0,0.0,Swampscott,Swampscott,31,42.479062,-70.920438,21,42.479062,-70.920438
Merrimac-Groveland,0.0,0.0,Merrimac,Groveland,18,42.782938,-71.013188,9,42.782938,-71.013188
Swampscott-Lynn,1.924864431,1.196055302079143,Swampscott,Lynn,31,42.479062,-70.920438,14,42.476687,-70.943687
Swampscott-Lynn,1.924864431,1.196055302079143,Swampscott,Lynn,21,42.479062,-70.920438,14,42.476687,-70.943687
Lynn-Swampscott,1.924864431,1.196055302079143,Lynn,Swampscott,14,42.476687,-70.943687,31,42.479062,-70.920438
Lawrence-North Andover,2.551754361,1.5855866438822594,Lawrence,North Andover,13,42.691187,-71.145062,24,42.700563,-71.116563
North Andover-Lawrence,2.551754361,1.5855866438822594,North Andover,Lawrence,24,42.700563,-71.116563,13,42.691187,-71.145062
Salem-Swampscott,3.116212303,1.9363245470077506,Salem,Swampscott,28,42.506312,-70.911563,21,42.479062,-70.920438
Swampscott-Salem,3.116212303,1.9363245470077506,Swampscott,Salem,31,42.479062,-70.920438,28,42.506312,-70.911563
Salem-Swampscott,3.116212303,1.9363245470077506,Salem,Swampscott,28,42.506312,-70.911563,31,42.479062,-70.920438
Marblehead-Salem,3.801214351,2.3619650847259477,Marblehead,Salem,17,42.492438,-70.869187,28,42.506312,-70.911563
Salem-Marblehead,3.801214351,2.3619650847259477,Salem,Marblehead,28,42.506312,-70.911563,17,42.492438,-70.869187
Andover-Lawrence,3.874622586,2.4075788470636974,Andover,Lawrence,2,42.657187,-71.155438,13,42.691187,-71.145062
Lawrence-Andover,3.874622586,2.4075788470636974,Lawrence,Andover,13,42.691187,-71.145062,2,42.657187,-71.155438
Salem-Lynn,4.217702902,2.620759071282193,Salem,Lynn,28,42.506312,-70.911563,14,42.476687,-70.943687
Lynn-Salem,4.217702902,2.620759071282193,Lynn,Salem,14,42.476687,-70.943687,28,42.506312,-70.911563
Swampscott-Marblehead,4.458022273,2.7700866048205146,Swampscott,Marblehead,31,42.479062,-70.920438,17,42.492438,-70.869187
Swampscott-Marblehead,4.458022273,2.7700866048205146,Swampscott,Marblehead,21,42.479062,-70.920438,17,42.492438,-70.869187
Marblehead-Swampscott,4.458022273,2.7700866048205146,Marblehead,Swampscott,17,42.492438,-70.869187,21,42.479062,-70.920438
Marblehead-Swampscott,4.458022273,2.7700866048205146,Marblehead,Swampscott,17,42.492438,-70.869187,31,42.479062,-70.920438
Beverly-Danvers,4.539867091,2.8209426167765077,Beverly,Danvers,3,42.564813,-70.881187,5,42.582062,-70.931438
Danvers-Beverly,4.539867091,2.8209426167765077,Danvers,Beverly,5,42.582062,-70.931438,3,42.564813,-70.881187
Peabody-Lynnfield,4.862034392,3.0211280959779665,Peabody,Lynnfield,25,42.544562,-70.974187,15,42.539063,-71.033062
Lynnfield-Peabody,4.862034392,3.0211280959779665,Lynnfield,Peabody,15,42.539063,-71.033062,25,42.544562,-70.974187
Lawrence-Methuen,5.135189073,3.190858545165007,Lawrence,Methuen,13,42.691187,-71.145062,19,42.733063,-71.171563
Methuen-Lawrence,5.135189073,3.190858545165007,Methuen,Lawrence,19,42.733063,-71.171563,13,42.691187,-71.145062
Peabody-Danvers,5.444708193,3.3831848090871595,Peabody,Danvers,25,42.544562,-70.974187,5,42.582062,-70.931438
Danvers-Peabody,5.444708193,3.3831848090871595,Danvers,Peabody,5,42.582062,-70.931438,25,42.544562,-70.974187
North Andover-Methuen,5.766253951,3.5829840793750716,North Andover,Methuen,24,42.700563,-71.116563,19,42.733063,-71.171563
Methuen-North Andover,5.766253951,3.5829840793750716,Methuen,North Andover,19,42.733063,-71.171563,24,42.700563,-71.116563
Andover-North Andover,5.776002636,3.5890416313744566,Andover,North Andover,2,42.657187,-71.155438,24,42.700563,-71.116563
North Andover-Andover,5.776002636,3.5890416313744566,North Andover,Andover,24,42.700563,-71.116563,2,42.657187,-71.155438
Middleton-Danvers,5.982335735,3.717251074636475,Middleton,Danvers,20,42.624813,-70.975813,5,42.582062,-70.931438
Danvers-Boxford,5.982335735,3.717251074636475,Danvers,Boxford,5,42.582062,-70.931438,4,42.624813,-70.975813
Danvers-Middleton,5.982335735,3.717251074636475,Danvers,Middleton,5,42.582062,-70.931438,20,42.624813,-70.975813
Boxford-Danvers,5.982335735,3.717251074636475,Boxford,Danvers,4,42.624813,-70.975813,5,42.582062,-70.931438
Danvers-Topsfield,5.982335735,3.717251074636475,Danvers,Topsfield,5,42.582062,-70.931438,32,42.624813,-70.975813
Salisbury-Georgetown,6.139484004,3.8148984815514444,Salisbury,Georgetown,29,42.744187,-70.916438,7,42.724063,-70.986438
Georgetown-Newbury,6.139484004,3.8148984815514444,Georgetown,Newbury,7,42.724063,-70.986438,22,42.744187,-70.916438
Georgetown-Salisbury,6.139484004,3.8148984815514444,Georgetown,Salisbury,7,42.724063,-70.986438,29,42.744187,-70.916438
Georgetown-Rowley,6.139484004,3.8148984815514444,Georgetown,Rowley,7,42.724063,-70.986438,27,42.744187,-70.916438
Newbury-Georgetown,6.139484004,3.8148984815514444,Newbury,Georgetown,22,42.744187,-70.916438,7,42.724063,-70.986438
Rowley-Georgetown,6.139484004,3.8148984815514444,Rowley,Georgetown,27,42.744187,-70.916438,7,42.724063,-70.986438
Newburyport-Amesbury,6.22700437,3.8692811155221003,Newburyport,Amesbury,23,42.813187,-70.886188,1,42.851062,-70.942437
Amesbury-Newburyport,6.22700437,3.8692811155221003,Amesbury,Newburyport,1,42.851062,-70.942437,23,42.813187,-70.886188
Lynn-Marblehead,6.355231736,3.9489579065240856,Lynn,Marblehead,14,42.476687,-70.943687,17,42.492438,-70.869187
Marblehead-Lynn,6.355231736,3.9489579065240856,Marblehead,Lynn,17,42.492438,-70.869187,14,42.476687,-70.943687
Hamilton-Ipswich,6.662809665,4.140077970284551,Hamilton,Ipswich,33,42.628687,-70.847813,12,42.688563,-70.850938
Hamilton-Ipswich,6.662809665,4.140077970284551,Hamilton,Ipswich,10,42.628687,-70.847813,12,42.688563,-70.850938
Ipswich-Hamilton,6.662809665,4.140077970284551,Ipswich,Hamilton,12,42.688563,-70.850938,33,42.628687,-70.847813
Ipswich-Hamilton,6.662809665,4.140077970284551,Ipswich,Hamilton,12,42.688563,-70.850938,10,42.628687,-70.847813
Peabody-Salem,6.665310374,4.141631838811724,Peabody,Salem,25,42.544562,-70.974187,28,42.506312,-70.911563
Salem-Peabody,6.665310374,4.141631838811724,Salem,Peabody,28,42.506312,-70.911563,25,42.544562,-70.974187
Lynn-Saugus,6.696100038,4.160763648971105,Lynn,Saugus,14,42.476687,-70.943687,30,42.460813,-71.022437
Saugus-Lynn,6.696100038,4.160763648971105,Saugus,Lynn,30,42.460813,-71.022437,14,42.476687,-70.943687
Merrimac-Georgetown,6.901322202,4.28828278923016,Merrimac,Georgetown,18,42.782938,-71.013188,7,42.724063,-70.986438
Georgetown-Merrimac,6.901322202,4.28828278923016,Georgetown,Merrimac,7,42.724063,-70.986438,18,42.782938,-71.013188
Georgetown-Groveland,6.901322202,4.28828278923016,Georgetown,Groveland,7,42.724063,-70.986438,34,42.782938,-71.013188
Groveland-Georgetown,6.901322202,4.28828278923016,Groveland,Georgetown,9,42.782938,-71.013188,7,42.724063,-70.986438
Georgetown-Groveland,6.901322202,4.28828278923016,Georgetown,Groveland,7,42.724063,-70.986438,9,42.782938,-71.013188
Rockport-Gloucester,6.947783415,4.3171524484408135,Rockport,Gloucester,26,42.652187,-70.609562,8,42.613438,-70.676187
Gloucester-Rockport,6.947783415,4.3171524484408135,Gloucester,Rockport,8,42.613438,-70.676187,26,42.652187,-70.609562
Salem-Beverly,6.964883394,4.327777882741018,Salem,Beverly,28,42.506312,-70.911563,3,42.564813,-70.881187
Beverly-Salem,6.964883394,4.327777882741018,Beverly,Salem,3,42.564813,-70.881187,28,42.506312,-70.911563
Beverly-Hamilton,7.609717832,4.72845942483406,Beverly,Hamilton,3,42.564813,-70.881187,33,42.628687,-70.847813
Hamilton-Beverly,7.609717832,4.72845942483406,Hamilton,Beverly,33,42.628687,-70.847813,3,42.564813,-70.881187
Hamilton-Beverly,7.609717832,4.72845942483406,Hamilton,Beverly,10,42.628687,-70.847813,3,42.564813,-70.881187
Merrimac-Haverhill,7.665212352,4.762942120764938,Merrimac,Haverhill,18,42.782938,-71.013188,11,42.787188,-71.106938
Groveland-Haverhill,7.665212352,4.762942120764938,Groveland,Haverhill,9,42.782938,-71.013188,11,42.787188,-71.106938
Haverhill-Groveland,7.665212352,4.762942120764938,Haverhill,Groveland,11,42.787188,-71.106938,34,42.782938,-71.013188
