school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Swampscott-Lynn,1.924864431,1.196055302079143,Swampscott,Lynn,31,42.479062,-70.920438,14,42.476687,-70.943687
Lawrence-North Andover,2.551754361,1.5855866438822594,Lawrence,North Andover,13,42.691187,-71.145062,24,42.700563,-71.116563
Salem-Swampscott,3.116212303,1.9363245470077506,Salem,Swampscott,28,42.506312,-70.911563,21,42.479062,-70.920438
Marblehead-Salem,3.801214351,2.3619650847259477,Marblehead,Salem,17,42.492438,-70.869187,28,42.506312,-70.911563
Andover-Lawrence,3.874622586,2.4075788470636974,Andover,Lawrence,2,42.657187,-71.155438,13,42.691187,-71.145062
Salem-Lynn,4.217702902,2.620759071282193,Salem,Lynn,28,42.506312,-70.911563,14,42.476687,-70.943687
Marblehead-Swampscott,4.458022273,2.7700866048205146,Marblehead,Swampscott,17,42.492438,-70.869187,31,42.479062,-70.920438
Beverly-Danvers,4.539867091,2.8209426167765077,Beverly,Danvers,3,42.564813,-70.881187,5,42.582062,-70.931438
Peabody-Lynnfield,4.862034392,3.0211280959779665,Peabody,Lynnfield,25,42.544562,-70.974187,15,42.539063,-71.033062
Lawrence-Methuen,5.135189073,3.190858545165007,Lawrence,Methuen,13,42.691187,-71.145062,19,42.733063,-71.171563
Peabody-Danvers,5.444708193,3.3831848090871595,Peabody,Danvers,25,42.544562,-70.974187,5,42.582062,-70.931438
North Andover-Methuen,5.766253951,3.5829840793750716,North Andover,Methuen,24,42.700563,-71.116563,19,42.733063,-71.171563
Andover-North Andover,5.776002636,3.5890416313744566,Andover,North Andover,2,42.657187,-71.155438,24,42.700563,-71.116563
Danvers-Topsfield,5.982335735,3.717251074636475,Danvers,Topsfield,5,42.582062,-70.931438,32,42.624813,-70.975813
Salisbury-Georgetown,6.139484004,3.8148984815514444,Salisbury,Georgetown,29,42.744187,-70.916438,7,42.724063,-70.986438
Amesbury-Newburyport,6.22700437,3.8692811155221003,Amesbury,Newburyport,1,42.851062,-70.942437,23,42.813187,-70.886188
Lynn-Marblehead,6.355231736,3.9489579065240856,Lynn,Marblehead,14,42.476687,-70.943687,17,42.492438,-70.869187
Hamilton-Ipswich,6.662809665,4.140077970284551,Hamilton,Ipswich,33,42.628687,-70.847813,12,42.688563,-70.850938
Salem-Peabody,6.665310374,4.141631838811724,Salem,Peabody,28,42.506312,-70.911563,25,42.544562,-70.974187
Lynn-Saugus,6.696100038,4.160763648971105,Lynn,Saugus,14,42.476687,-70.943687,30,42.460813,-71.022437
Merrimac-Georgetown,6.901322202,4.28828278923016,Merrimac,Georgetown,18,42.782938,-71.013188,7,42.724063,-70.986438
Rockport-Gloucester,6.947783415,4.3171524484408135,Rockport,Gloucester,26,42.652187,-70.609562,8,42.613438,-70.676187
Salem-Beverly,6.964883394,4.327777882741018,Salem,Beverly,28,42.506312,-70.911563,3,42.564813,-70.881187
Beverly-Hamilton,7.609717832,4.72845942483406,Beverly,Hamilton,3,42.564813,-70.881187,33,42.628687,-70.847813
Haverhill-Groveland,7.665212352,4.762942120764938,Haverhill,Groveland,11,42.787188,-71.106938,9,42.782938,-71.013188
Peabody-Beverly,7.943461439,4.935838087070542,Peabody,Beverly,25,42.544562,-70.974187,3,42.564813,-70.881187
Lynn-Peabody,7.950637,4.94029677394803,Lynn,Peabody,14,42.476687,-70.943687,25,42.544562,-70.974187
Haverhill-Methuen,8.003572875,4.97318960159047,Haverhill,Methuen,11,42.787188,-71.106938,19,42.733063,-71.171563
Newburyport-Newbury,8.059884897,5.008180269711917,Newburyport,Newbury,23,42.813187,-70.886188,22,42.744187,-70.916438
Marblehead-Beverly,8.107585089,5.037819794778186,Marblehead,Beverly,17,42.492438,-70.869187,3,42.564813,-70.881187
Gloucester-Manchester,8.151249765,5.06495176646527,Gloucester,Manchester,8,42.613438,-70.676187,6,42.582062,-70.766188
Newbury-Ipswich,8.178663219,5.0819856969992605,Newbury,Ipswich,22,42.744187,-70.916438,12,42.688563,-70.850938
Hamilton-Manchester,8.456185822,5.254430247077268,Hamilton,Manchester,10,42.628687,-70.847813,6,42.582062,-70.766188
Peabody-Swampscott,8.512062805,5.289150594497587,Peabody,Swampscott,25,42.544562,-70.974187,21,42.479062,-70.920438
